id,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모
G0026,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,부산광역시 북구 영유아 보육 조례,위임,조례,4,"이원 위임: 국립=교육부장관이 정함(형식 무지정=미특정), 공립=지자체 조례. 본 행 대상(공립·조례) 분기 기준 '조례' 기재, 다중라벨 시 {미특정, 조례}. 상위규범이 시행규칙(부령)인데 조례로 재위임하는 구조도 특기. 동일 문장 G0104·G0184와 일관 처리."
G0027,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,칠곡군 평생교육 진흥 조례,위임,조례,5,완전문장·전형문형: 협의회 구성·운영 필요사항의 조례 위임. 동일 문장 G0118과 일관 처리.
G0035,지방자치단체의 교육경비 보조에 관한 규정,4,보조의 신청등,①지방자치단체의 장은 해당 연도 보조사업에 대하여 각급학교의 장에게 보조대상사업 및 그 예산액을 통지하고 보조신청서를 제출하도록 하여야 한다. 이 경우 해당 지방자치단체의 조례로 정하는 바에 따라 관할 교육감 또는 교육장을 거쳐 보조대상사업 및 그 예산액을 통지하거나 보조신청서를 제출하게 할 수 있다.,조례로,위임자치법규,조례,자치법규,정선군 교육경비 보조에 관한 조례,위임,조례,4,후단의 '해당 지방자치단체의 조례로 정하는 바에 따라' — 보조신청의 경유 절차(교육감·교육장 경유 여부)를 조례가 규율하도록 하는 절차적 부분위임. 전단은 직접규율이나 후단 위임표지로 문장 전체 위임 판정.
G0040,대안교육기관에 관한 법률 시행령,7,대안교육기관에 대한 경비 지원,④ 제1항부터 제3항까지의 규정에서 정한 사항 외에 대안교육기관에 대한 경비 지원에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,함평군 학교 밖 청소년 지원에 관한 조례,위임,조례,5,완전문장·전형문형: 규정사항 외 보충 필요사항의 조례 위임.
G0051,취업 후 학자금 상환 특별법,19,장기미상환자에 대한 특례,대통령령으로 정하는 일정 배수를,대통령령,시행령,대통령령,법령,취업 후 학자금 상환 특별법 시행령,위임,대통령령,4,"조문문장 절단. '대통령령으로 정하는 일정 배수' — 요건 일부(배수 기준)의 부분위임 표지 명백, 경계규칙상 위임."
G0054,유아교육법 시행령,22,소위원회,"② 제1항에 따른 소위원회의 구성 및 운영에 필요한 사항은 국립유치원의 경우에는 유치원규칙으로, 공립유치원의 경우에는 시ㆍ도의 조례로, 사립유치원의 경우에는 정관 또는 유치원규칙으로 정한다.",조례로,위임자치법규,조례,자치법규,경상북도립학교운영위원회 설치ㆍ운영에 관한 조례,위임,조례,4,"삼원 위임: 국립=유치원규칙, 공립=시·도 조례, 사립=정관·유치원규칙. 유치원규칙·정관은 L2 스키마 외 형식(자치규범·사규 성격). 본 행 대상(공립·조례) 분기 기준 '조례' 기재."
G0063,인문학 및 인문정신문화의 진흥에 관한 법률,6,인문학 및 인문정신문화 진흥심의회 설치 및 심의사항,세부사항은 대통령령으로,대통령령,시행령,대통령령,법령,인문학 및 인문정신문화의 진흥에 관한 법률 시행령,위임,대통령령,4,조문문장 절단. '세부사항은 대통령령으로 [정한다]' 문형 — 심의회 관련 세부사항의 대통령령 위임 표지 명백.
G0068,지방교육자치에 관한 법률,41,지방교육행정협의회의 설치,②제1항의 규정에 따른 지방교육행정협의회의 구성·운영에 관하여 필요한 사항은 교육감과 시·도지사가 협의하여 조례로 정한다.,조례로,위임자치법규,조례,자치법규,경기도교육행정협의회 설치ㆍ운영 조례,위임,조례,5,완전문장: '교육감과 시·도지사가 협의하여 조례로 정한다' — 제정 전 협의요건이 부가된 조례 위임. 협의요건은 위임 성립에 영향 없음.
G0069,학생맞춤통합지원법,8,시ㆍ도학생맞춤통합지원센터 및 지역학생맞춤통합지원센터의 설치ㆍ지정,⑥ 그 밖에 시ㆍ도지원센터 또는 지역지원센터의 지정 및 지정 취소의 기준ㆍ절차 등에 필요한 사항은 대통령령으로 정하는 기준에 따라 해당 시ㆍ도의 조례로 정한다.,조례로 정한다.,위임자치법규,대통령령,자치법규,서울특별시교육청 학생맞춤통합지원 조례,위임,조례,4,"2단(중첩) 위임: '대통령령으로 정하는 기준에 따라 해당 시·도의 조례로 정한다'(국가법령정보센터 원문 구조 확인). 규율사항의 최종 수임 형식은 조례이고 대통령령은 그 기준을 설정하는 상위 위임이 병존 — 다중라벨 시 {대통령령, 조례}, 주형식은 조례. 자동추출 '대통령령'은 중첩 구조에서 최종 위임형식을 오인한 대표 오류 사례(추출기가 첫 표지만 취하는 것으로 추정)."
G0073,학교복합시설 설치 및 운영ㆍ관리에 관한 법률,7,학교복합시설 운영협의회,② 운영협의회의 구성ㆍ운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정할 수 있다.,조례로,위임자치법규,조례,자치법규,경기도교육청 학교복합시설 설치 및 운영에 관한 조례,위임,조례,5,완전문장: '조례로 정할 수 있다' — 임의적(수권적) 위임이나 규율권한의 이전이라는 점은 동일하므로 위임 판정.
G0074,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,노인이 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,영암군 어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 조례,위임,조례,4,호(목) 단위 문장. '조례로 정하는 시설 또는 장소' — 보호구역 대상시설 지정의 부분위임(개방조항). 상위규범이 공동부령(규칙)에서 조례로 위임하는 구조 특기. 동일 문장 G0137과 일관 처리.
G0079,학생맞춤통합지원법,15,학생맞춤통합지원 협력체계의 구축,③ 제1항에 따른 협력체계의 구성ㆍ운영에 필요한 사항은 해당 시ㆍ도의 조례로 정한다.,조례로 정한다,위임자치법규,조례,자치법규,경기도교육청 학생맞춤통합지원 조례,위임,조례,5,완전문장·전형문형: 협력체계 구성·운영 필요사항의 조례 위임.
G0083,지방교육자치에 관한 법률,26,사무의 위임ㆍ위탁 등,"①교육감은 조례 또는 교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관, 소속교육기관 또는 하급교육행정기관에 위임할 수 있다.",교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관,위임자치법규,조례,자치법규,제주특별자치도교육감 행정권한 위임에 관한 규칙,위임,교육규칙,3,"선택적 병렬위임 '조례 또는 교육규칙'. 본 행 대상이 교육감 규칙이므로 교육규칙 분기를 기재 — 그러나 '교육규칙'이 L2 스키마에 부재(스키마 외 값). 교육규칙은 지방교육자치법 §25에 근거한 교육감 제정 자치법규로 조례와 제정주체·절차가 달라 '조례'로 뭉개면 형식 구분 정보가 소실됨 — 코드북에 '교육규칙' 값 추가 강력 제안. 다중라벨 시 {조례, 교육규칙}. 동일 문장 G0113(대상=조례)과 페어링 분기만 상이 — 어주디케이션 시 페어링 기준 채택 여부 확정 요망."
G0087,학교용지 확보 등에 관한 특례법,9,권한의 위임,② 교육감은 해당 교육규칙으로 정하는 바에 따라 제3조에 따른 인접 학교용지의 확보에 관한 업무와 교육감의 의견 표시에 관한 업무를 시·군·구의 교육장에게 위임할 수 있다.,교육규칙으로,위임자치법규,조례,자치법규,경상남도교육감 행정권한의 위임에 관한 규칙,위임,교육규칙,3,"'해당 교육규칙으로 정하는 바에 따라' — 위임 자체는 명백하나 위임형식(교육규칙)이 L2 스키마에 부재. 자동추출 '조례'는 교육규칙→조례 오분류: 자치법규 내 형식(조례/규칙) 구분 실패 사례로, 이 연구가 겨냥하는 회색지대의 실증례."
G0098,학교안전사고 예방 및 보상에 관한 법률,4,학교안전사고 예방계획의 수립ㆍ시행,대통령령으로 정하는,대통령령,시행령,대통령령,법령,학교안전사고 예방 및 보상에 관한 법률 시행령,위임,대통령령,4,조문문장 절단. '대통령령으로 정하는' 부분위임 표지 명백 — 판단불가 아님.
G0104,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,수원시 보육 조례,위임,조례,4,"G0026과 동일 문장(대상만 상이: 수원시 조례) — 판정·주석 동일: 이원 위임(국립=미특정/공립=조례), 본 분기 '조례'."
G0107,지방교육자치에 관한 법률,32,교육기관의 설치,교육감은 그 소관 사무의 범위 안에서 필요한 때에는 대통령령 또는 조례로 정하는 바에 따라 교육기관을 설치할 수 있다.,조례로,위임자치법규,대통령령,자치법규,대전광역시교육청 행정기구설치조례,위임,조례,3,"G0004와 동일 문장(대상만 상이: 대전 조례) — 판정·주석 동일: '대통령령 또는 조례' 병렬위임, 다중라벨 시 {대통령령, 조례}. 자동추출 '대통령령'은 병렬 미처리 오류."
G0109,초ㆍ중등교육법 시행령,59,의견 수렴 등,"2. 그 밖에 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 미리 학부모의 의견을 수렴하도록 정한 사항",시.도의 조례로 미리 학부모의,위임자치법규,조례,자치법규,광주광역시립학교 운영위원회 설치ㆍ운영에 관한 조례,위임,조례,3,"경계 사례: '조례로 미리 학부모의 의견을 수렴하도록 정한 사항' — 완료 관형형('정한')이라 기존 조례 규정의 지시(인용)로 읽을 여지가 있으나, 조례에 의견수렴 대상 사항을 추가 지정할 권한을 여는 개방적 수권으로 보아 위임 판정. 학칙 분기(국립) 병존(스키마 외). 확신도 낮음 — 교차검토·어주디케이션 우선 대상."
G0111,교원의 지위 향상 및 교육활동 보호를 위한 특별법,31,교원의 근무환경 실태조사,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교원의 지위 향상 및 교육활동 보호를 위한 특별법 시행령,위임,대통령령,4,조문문장 절단. '대통령령으로 정한다' 위임표지 명백 — 실태조사 방법 등 보충사항의 대통령령 위임.
G0113,지방교육자치에 관한 법률,26,사무의 위임ㆍ위탁 등,"①교육감은 조례 또는 교육규칙으로 정하는 바에 따라 그 권한에 속하는 사무의 일부를 보조기관, 소속교육기관 또는 하급교육행정기관에 위임할 수 있다",①교육감은 조례,위임자치법규,조례,자치법규,전북특별자치도교육감 행정권한위임에 관한 조례,위임,조례,3,"G0083과 동일 문장(대상=전북 조례) — 병렬위임 {조례, 교육규칙} 중 본 행 페어링 분기인 '조례' 기재(스키마 내). 페어링 기준으로 인해 동일 문장 G0083과 L2가 달라지는 점을 어주디케이션에서 확정 요망(문장 단위 채점이면 두 행 모두 다중라벨이 정답)."
G0116,학교급식법,5,학교급식위원회 등,⑤제3항의 규정에 따른 학교급식지원심의위원회의 구성ㆍ운영과 제4항의 규정에 따른 학교급식지원센터의 설치ㆍ운영에 관하여 필요한 사항은 해당지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,청송군 친환경무상급식 등 지원에 관한 조례,위임,조례,5,완전문장·전형문형: 심의위원회 구성·운영 및 지원센터 설치·운영 필요사항의 조례 위임.
G0118,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부천시 평생학습 기본 조례,위임,조례,5,G0027과 동일 문장(대상만 상이: 부천시 조례) — 판정 동일.
G0123,교육국제화특구의 지정ㆍ운영 및 육성에 관한 특별법,4,특구의 지정 등,특구를 지정한 때에는 대통령령으로 정하는 바에 따라 그 내용을 관보에 고시하고,고시하고,위임행정규칙,대통령령,행정규칙,교육국제화특구 지정 고시,위임,대통령령,4,"조문문장 절단이나 구조 판독 가능: '대통령령으로 정하는 바에 따라 그 내용을 관보에 고시' — 규율권한을 수임하는 형식은 대통령령(고시 절차·방법)이며, '관보 고시'는 특구 지정의 공고행위(처분적·집행적 고시)로서 행정규칙에의 규범 위임이 아님. 따라서 API '위임행정규칙' 분류는 오분류 소지(페어링된 '지정 고시'는 처분적 고시). 자동추출 '대통령령'이 문언 기준으로는 정답인 흥미로운 사례 — L2는 '실제 무엇이 제정됐는지가 아님' 원칙의 시금석."
G0124,한국학중앙연구원 육성법,2,출연금,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,한국학중앙연구원 육성법 시행령,위임,대통령령,4,조문문장 절단. '필요한 사항은 대통령령으로 [정한다]' — 출연금 관련 보충사항의 전형적 위임.
G0125,산업교육진흥 및 산학연협력촉진에 관한 법률,36,"교직원, 연구원의 겸직 및 휴직",대통령령으로 정한다,대통령령,시행령,대통령령,법령,산업교육진흥 및 산학연협력촉진에 관한 법률 시행령,위임,대통령령,4,조문문장 절단. '대통령령으로 정한다' 위임표지 명백.
G0130,초ㆍ중등교육법,43,입학자격 등,사항은 대통령령으로,대통령령,시행령,대통령령,법령,초ㆍ중등교육법 시행령,위임,대통령령,4,조문문장 절단. '사항은 대통령령으로 [정한다]' — 입학자격 등 보충사항의 전형적 위임.
G0132,교육환경 보호에 관한 법률 시행령,16,교육환경평가서의 작성 및 제출,2. 제1항제2호의 내용 중 교육규칙으로 정하는 것,내용 중 교육규칙으로,위임자치법규,조례,자치법규,충청북도교육청 교육환경평가서 작성 등에 관한 규칙,위임,교육규칙,3,'교육규칙으로 정하는 것' — 평가서 기재내용 일부의 부분위임. 위임형식 '교육규칙'이 L2 스키마에 부재(스키마 외 값 기재). 자동추출 '조례'는 교육규칙→조례 오분류(G0087 동형 오류). 시행령(대통령령)에서 교육규칙으로 직접 위임하는 구조도 특기.
G0134,평생교육법,21,시ㆍ군ㆍ구평생학습관 등의 설치ㆍ운영 등,④ 제1항 및 제2항에 따른 평생학습관의 설치·운영 등에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,서울특별시 양천구 평생교육진흥 조례,위임,조례,5,완전문장·전형문형: 평생학습관 설치·운영 필요사항의 조례 위임.
G0137,어린이ㆍ노인 및 장애인 보호구역의 지정 및 관리에 관한 규칙,2,정의,마. 그 밖에 노인이 자주 왕래하는 곳으로서 조례로 정하는 시설 또는 장소,노인이 자주 왕래하는 곳으로서 조례로,위임자치법규,조례,자치법규,시흥시 노인 보호구역 지정 및 관리에 관한 조례,위임,조례,4,G0074와 동일 문장(대상만 상이: 시흥시 조례) — 판정 동일: 호 단위 부분위임.
G0138,폐교재산의 활용촉진을 위한 특별법 시행령,3,수의계약에 의한 대부 및 매각 등,②법 제5조제1항에 따라 대부하는 경우 연간 대부료율은 해당 폐교재산평정가격(「공유재산 및 물품 관리법 시행령」 제31조제2항에 따른 가격을 말한다. 이하 같다)을 고려하여 해당 특별시ㆍ광역시ㆍ특별자치시ㆍ도 및 특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,강원특별자치도교육비특별회계 소관 공유재산관리 조례,위임,조례,5,완전문장: 대부료율의 조례 위임이 주된 규율. 괄호 내 「공유재산 및 물품 관리법 시행령」 언급은 정의 원용(인용)에 불과하여 판정에 영향 없음 — 위임과 인용이 한 문장에 공존할 때 주된 규범작용으로 판정하는 예.
G0140,고등교육법,21,교육과정의 운영,대통령령으로 정한다,대통령령,시행령,대통령령,법령,고등교육법 시행령,위임,대통령령,4,조문문장 절단. '대통령령으로 정한다' 위임표지 명백.
G0141,교육공무원법,14,승진후보자 명부,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육공무원 승진규정|교육공무원임용령,위임,대통령령,4,조문문장 절단. '대통령령으로 정하는' 부분위임 표지 명백. 페어링 대상이 복수 대통령령(승진규정|임용령)인 점은 L2 판정과 무관.
G0142,국립대학법인 서울대학교 설립ㆍ운영에 관한 법률,14,결격사유 등,대통령령으로 정하는 사유로 학교 경영에,대통령령,시행령,대통령령,법령,국립대학법인 서울대학교 설립ㆍ운영에 관한 법률 시행령,위임,대통령령,4,조문문장 절단. '대통령령으로 정하는 사유' — 결격·해임 사유 일부의 부분위임.
G0145,교육공무원법,32,장학금 지급 및 의무복무,③ 교육감은 제2항에 따라 장학금을 받는 사람에 대하여 교육대학을 졸업한 후 4년의 범위에서 해당 관할지역에서 실시되는 교사 공개전형에 응시하여 합격한 경우에는 장학금을 받은 기간의 2배의 범위에서 시·도의 조례로 정하는 기간 동안 교육감이 정하는 지역에서 복무하도록 의무를 부과할 수 있다.,시.도의 조례로 정하는 기간,위임자치법규,조례,자치법규,전라남도교육감 추천 광주교육대학교 입학생 장학금 지급에 관한 조례,위임,조례,4,"복합 위임: '시·도의 조례로 정하는 기간'(부분위임, 상한은 법률이 '2배의 범위'로 직접 설정) + '교육감이 정하는 지역'(형식 무지정 — 미특정 위임 내지 개별 지정행위로 볼 여지). 본 행 대상(전남 조례) 분기 기준 '조례' 기재, 다중라벨 시 {조례, 미특정}."
G0147,독학에 의한 학위취득에 관한 법률 시행령,9,시험과목 면제 대상,교육부령으로 정하는,교육부령,시행규칙,부령,법령,독학에 의한 학위취득에 관한 법률 시행규칙,위임,부령,4,조문문장 절단. '교육부령으로 정하는' 부분위임 표지 명백(시험과목 면제 대상).
G0154,영유아보육법,14,직장어린이집의 설치 등,교육부령으로 정한다,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙,위임,부령,4,조문문장 절단. '교육부령으로 정한다' 위임표지 명백. 영유아보육 사무의 교육부 이관에 따라 현행 문언이 '교육부령'인 점 정합.
G0157,학원의 설립ㆍ운영 및 과외교습에 관한 법률,6,학원 설립ㆍ운영의 등록,② 숙박시설을 갖춘 학교교과교습학원의 등록은 대통령령으로 정하는 범위에서 관할 지역의 교육여건과 수강생의 안전 및 숙박시설의 필요성 등을 고려하여 시·도의 조례로 정하는 기준에 맞는 경우에만 할 수 있다.,조례로,위임자치법규,대통령령,자치법규,강원특별자치도 학원의 설립ㆍ운영 및 과외교습에 관한 조례,위임,조례,4,"2단(중첩) 위임: '대통령령으로 정하는 범위에서 … 시·도의 조례로 정하는 기준에 맞는 경우' — 등록기준의 최종 수임 형식은 조례, 대통령령은 그 외연(범위)을 설정. 다중라벨 시 {대통령령, 조례}. 자동추출 '대통령령'은 중첩 구조에서 주형식 오인(G0069 동형 오류) — 추출기의 계통적 약점으로 기록."
G0158,유아교육법,19,유치원회계의 설치,"⑥ 유치원회계의 설치에 필요한 사항은 국립유치원의 경우에는 교육부령으로, 공립유치원의 경우에는 시·도의 교육규칙으로 정한다.",교육규칙으로,위임자치법규,부령,자치법규,인천광역시 공립학교 회계 규칙,위임,교육규칙,3,"이원 위임: 국립=교육부령(부령), 공립=시·도 교육규칙. 본 행 대상(인천 공립학교 회계 '규칙') 분기는 교육규칙 — L2 스키마 외 값 기재(스키마 보완 필요). 자동추출 '부령'은 첫 분기(국립)만 포착하고 본 페어링 분기를 놓친 사례. 다중라벨 시 {부령, 교육규칙}."
G0164,초ㆍ중등교육법 시행령,79,고등학교입학전형위원회,②고등학교입학전형위원회의 조직 및 운영에 관한 사항은 시ㆍ도 교육규칙으로 정한다.,관한 사항은 시.도 교육규칙으로 정한다,위임자치법규,조례,자치법규,제주특별자치도 고등학교 입학전형위원회 규칙,위임,교육규칙,3,"완전문장·위임 명백: '시·도 교육규칙으로 정한다'. 위임형식이 교육규칙으로 명시 특정되어 있으므로 '미특정' 아님 — L2 스키마에 값 부재로 스키마 외 기재. 자동추출 '조례'는 교육규칙→조례 오분류(G0087·G0132 동형, 계통 오류)."
G0165,평생교육법,16,경비보조 및 지원,② 지방자치단체의 장은 해당 지방자치단체의 조례로 정하는 바에 따라 주민을 위한 평생교육진흥사업을 실시하거나 지원할 수 있다. 이 경우 교육감 또는 지역교육장과 협의하여야 한다.,조례로,위임자치법규,조례,자치법규,서울특별시 영등포구 평생교육 진흥 조례,위임,조례,4,'조례로 정하는 바에 따라 … 실시하거나 지원할 수 있다' — 사업의 요건·내용·절차 규율을 조례에 맡기는 수권형 위임. 후문(교육감 협의)은 절차요건으로 판정에 영향 없음.
G0170,국립대학치과병원 설치법,9,임원,대통령령으로 정하는 요건을,대통령령,시행령,대통령령,법령,국립대학치과병원 설치법 시행령,위임,대통령령,4,조문문장 절단. '대통령령으로 정하는 요건' — 임원 자격요건 일부의 부분위임.
G0171,학원의 설립ㆍ운영 및 과외교습에 관한 법률,4,학원설립ㆍ운영자 등의 책무,"③ 학원설립·운영자 및 교습자는 특별시·광역시·특별자치시·도 및 특별자치도(이하 ""시·도""라 한다)의 조례로 정하는 바에 따라 학원·교습소의 운영과 관련하여 학원·교습소의 수강생에게 발생한 생명·신체상의 손해를 배상할 것을 내용으로 하는 보험이나 공제사업에 가입하는 등 필요한 안전조치를 취하여야 한다",조례로,위임자치법규,조례,자치법규,대전광역시 학원의 설립ㆍ운영 및 과외교습에 관한 조례,위임,조례,5,완전문장: 보험·공제 가입 등 안전조치 이행 방식의 조례 위임('조례로 정하는 바에 따라').
G0173,인성교육진흥법 시행령,12,인성교육 지원 등,④ 제3항에 따른 시·도인성교육진흥협의회의 구성·운영에 필요한 사항은 해당 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,강원특별자치도교육청 인성교육 진흥 조례,위임,조례,5,완전문장·전형문형: 협의회 구성·운영 필요사항의 조례 위임. 시행령→조례 위임 구조.
