id,상위법령명,상위조문번호,상위조문제목,조문문장,위임표지어구,API_위임구분,자동추출_위임형식,대상유형,대상명,L1_위임인가,L2_위임된법형식,L3_확신도,L4_메모
G0081,학원의 설립ㆍ운영 및 과외교습에 관한 법률 시행령,5,숙박시설을 갖춘 학교교과교습학원의 등록,"② 제1항에 따른 숙박시설의 위치, 환경기준, 시설·설비기준, 영양사 및 생활지도 담당인력 배치기준 등에 관한 사항은 지역적 여건과 학원의 규모 등을 고려하여 시·도 조례로 정한다.",시.도 조례로,위임자치법규,조례,자치법규,충청남도 학원의 설립ㆍ운영 및 과외교습에 관한 조례,,,,
G0085,초ㆍ중등교육법 시행령,77,고등학교 입학전형의 실시권자,4. 해당 지역에 거주하는 학생·학부모 등을 대상으로 실시한 여론조사 결과가 시·도 조례로 정하는 기준을 충족할 것. 이 경우 여론조사 내용에는 제3호 각 목의 사항이 포함되어야 한다.,조례로 정하는 기준을 충족할,위임자치법규,조례,자치법규,대전광역시교육감의 고등학교 입학전형 실시지역 지정 및 해제에 관한 조례,,,,
G0090,지방교육재정교부금법,7,기준재정수입액,대통령령으로 정한다,대통령령,시행령,대통령령,법령,지방교육재정교부금법 시행령,,,,
G0095,학점인정 등에 관한 법률 시행규칙,13,수수료의 납부,교육부장관이 정하는 수수료를 원장에게 내야 한다.,교육부장관이 정하는,위임행정규칙,미특정,행정규칙,학점인정 등에 관한 업무처리 지침,,,,
G0096,고등교육법,24,분교,대통령령으로 정하는,대통령령,시행령,대통령령,법령,고등교육법 시행령,,,,
G0097,학교용지 확보 등에 관한 특례법 시행령,5,학교용지부담금의 부과ㆍ징수의 절차 등,"⑤ 제1항부터 제4항까지의 규정에서 정한 사항 외에 납부고지서의 서식, 그 밖에 부담금의 부과ㆍ징수에 필요한 사항은 특별시ㆍ광역시ㆍ특별자치시ㆍ도 또는 특별자치도(이하 “시ㆍ도”라 한다)의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,세종특별자치시 학교용지부담금 부과ㆍ징수 및 특별회계 설치 조례,,,,
G0101,교육환경 보호에 관한 법률 시행령,16,교육환경평가서의 작성 및 제출,"⑥ 법 제6조제1항 각 호의 어느 하나에 해당하는 자(이하 “평가서작성자”라 한다)는 교육환경평가서를 작성ㆍ제출한 후 다음 각 호의 어느 하나에 해당하게 된 경우에는 그 사실을 즉시 교육감에게 통보하고, 해당 사유가 발생한 날부터 45일 이내에 교육환경평가서를 다시 작성하여 교육감에게 제출해야 한다. 이 경우 교육환경평가서의 내용 등은 제1항 및 제3항에 따르되, 교육규칙으로 정하는 바에 따라 그 내용의 일부를 생략할 수 있다.","따르되, 교육규칙으로",위임자치법규,조례,자치법규,강원특별자치도 교육환경평가서 작성 등에 관한 규칙,,,,
G0105,초ㆍ중등교육법 시행령,96,초등학교 졸업자와 동등의 학력인정,교육부령으로 정한다,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙,,,,
G0106,초ㆍ중등교육법 시행령,54,다문화교육지원센터의 설치ㆍ운영 등,2. 제2항에 따른 지역다문화교육지원센터의 경우: 해당 시ㆍ도의 조례,조례,위임자치법규,조례,자치법규,충청북도교육청 다문화교육 진흥 조례,,,,
G0108,직업교육훈련 촉진법,7,취업지원센터 설치ㆍ운영,④ 시ㆍ도교육감이 설치한 취업지원센터의 운영 등에 필요한 사항은 시ㆍ도의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,부산광역시교육청 취업지원센터 설치ㆍ운영에 관한 조례,,,,
G0112,영유아보육법,46,어린이집의 원장의 자격정지,교육부령으로 정한 급식기준,교육부령,시행규칙,부령,법령,영유아보육법 시행규칙,,,,
G0119,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,영월군 평생학습 조례,,,,
G0120,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,대구광역시 수성구 평생교육진흥 조례,,,,
G0121,영유아보육법 시행규칙,24,국공립어린이집의 운영위탁,"⑨ 어린이집의 운영 위탁에 관한 구체적인 사항은 국립어린이집의 경우 교육부장관이 정하고, 공립어린이집의 경우 지방자치단체의 조례로 정한다.",조례로,위임자치법규,조례,자치법규,부산광역시 영도구 영유아 보육 조례,,,,
G0122,교육공무원법,23,인사기록,필요한 사항은 교육부령으로,교육부령,시행규칙,부령,법령,교육공무원 인사기록 및 인사사무 처리 규칙,,,,
G0126,초ㆍ중등교육법,27,학력인정 시험,사항은 교육부령으로,교육부령,시행규칙,부령,법령,초ㆍ중등교육법 시행규칙,,,,
G0127,교육감 소속 지방공무원 평정규칙,16,경력의 평정점,④ 교육감은 경력평정을 할 때 해당 지방자치단체의 운용 여건을 고려하여 가산점을 부여할 특별한 사유가 있는 직위를 교육규칙으로 정할 수 있다.,교육규칙으로,위임자치법규,조례,자치법규,서울특별시교육청 지방공무원 인사규칙,,,,
G0135,재외국민의 교육지원 등에 관한 법률 시행령,15,공무원이 아닌 사람의 채용기간 등,필요한 사항은 교육부령으로,교육부령,시행규칙,부령,법령,재외국민의 교육지원 등에 관한 법률 시행규칙,,,,
G0136,고등교육법,35,학위의 수여,사항은 대통령령으로,대통령령,시행령,대통령령,법령,고등교육법 시행령,,,,
G0146,교원의 지위 향상 및 교육활동 보호를 위한 특별법,21,법률지원단의 구성 및 운영,② 제1항에 따른 법률지원단의 구성 및 운영에 필요한 사항은 교육부령 또는 시ㆍ도의 교육규칙으로 정한다.,교육규칙으로,위임자치법규,부령,자치법규,인천광역시교육청 교육활동 보호 법률지원단 구성 및 운영에 관한 규칙,,,,
G0148,초ㆍ중등교육법 시행규칙,42,수수료,① 시험 응시 수수료 및 검정고시에 따르는 각종 증명서의 발급 수수료에 관하여 필요한 사항은 시·도의 조례로 정한다.,조례로,위임자치법규,고시,자치법규,제주특별자치도 교육ㆍ학예에 관한 각종 수수료 징수 조례,,,,
G0149,사립학교법 시행령,7,개방이사의 추천ㆍ선임 등,학교의 교육과정 등을 확인하여 제6항에 따른 학교법인을 고시한다.,고시한다,위임행정규칙,고시,행정규칙,종교지도자 양성 대학법인 지정 고시,,,,
G0151,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,양양군 평생교육진흥 조례,,,,
G0156,교육시설 등의 안전 및 유지관리 등에 관한 법률,8,교육시설에 관한 최소환경기준의 설정,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육시설 등의 안전 및 유지관리 등에 관한 법률 시행령,,,,
G0161,학교폭력예방 및 대책에 관한 법률,17,가해학생에 대한 조치,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,학교폭력예방 및 대책에 관한 법률 시행령,,,,
G0166,교원의 지위 향상 및 교육활동 보호를 위한 특별법,13,교원지위향상심의회의 설치,필요한 사항은 대통령령으로,대통령령,시행령,대통령령,법령,교원 지위 향상을 위한 교섭ㆍ협의에 관한 규정,,,,
G0169,평생교육법 시행령,77,권한의 위임ㆍ위탁,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,조례로,위임자치법규,조례,자치법규,경기도교육감 행정권한 위임에 관한 조례,,,,
G0177,평생교육법 시행령,77,권한의 위임ㆍ위탁,③ 교육감은 법 제44조제3항에 따라 다음 각 호의 권한을 조례로 정하는 바에 따라 소관 교육장에게 위임할 수 있다.,조례로,위임자치법규,조례,자치법규,대전광역시교육감 소관 행정권한의 위임에 관한 조례,,,,
G0182,영재교육 진흥법,16,특례자 선정 등,대통령령으로 정한다,대통령령,시행령,대통령령,법령,영재교육진흥법 시행령,,,,
G0187,교육공무원법,45,휴직기간 등,대통령령으로 정하는,대통령령,시행령,대통령령,법령,교육공무원임용령|교원 등의 연수에 관한 규정,,,,
G0188,초ㆍ중등교육법 시행령,59,의견 수렴 등,"③ 국·공립학교에 두는 운영위원회는 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 정하는 바에 따라 학생 대표가 학생의 학교생활에 관련된 사항에 관하여 학생들의 의견을 수렴하여 운영위원회에 제안하게 할 수 있다.",시.도의 조례로 정하는 바에 따라 학생,위임자치법규,조례,자치법규,경상북도립학교운영위원회 설치ㆍ운영에 관한 조례,,,,
G0191,특수학교시설ㆍ설비기준령,4,교육 관련 시설의 종류 및 기준,"①학교가 학생의 교육을 위하여 설치하여야 하는 시설의 종류 및 그 기준은 별표 1과 같다. 다만, 지역의 여건 및 학생의 장애 유형 등을 고려하여 시설의 종류별 면적기준을 3분의 1의 범위에서 시·도 조례로 정하는 바에 따라 완화하거나 강화하여 적용할 수 있다.",조례로,위임자치법규,조례,자치법규,경상남도교육청 특수교육 진흥에 관한 조례,,,,
G0192,평생교육법,14,시ㆍ군ㆍ자치구평생교육협의회,④ 시·군·구협의회의 구성·운영 등에 필요한 사항은 지방자치단체의 조례로 정한다.,조례로,위임자치법규,조례,자치법규,울산광역시 울주군 평생학습 조례,,,,
G0196,교육공무원법,18,겸임,대통령령으로 정한다,대통령령,시행령,대통령령,법령,교육공무원임용령,,,,
G0197,고등교육법,54,전공심화과정에 대한 학위수여,대통령령으로 정하는 과의,대통령령,시행령,대통령령,법령,고등교육법 시행령,,,,
G0200,국립대학치과병원 설치법,3,설립,대통령령으로 정한다,대통령령,시행령,대통령령,법령,국립대학치과병원 설치법 시행령,,,,
