행정규칙일련번호,행정규칙명,종류,주장법령들,판정들,타부처위임확인
2100000222714,교육부 정책자문위원회 규정,훈령,정책자문위원회 규정,정책자문위원회 규정=타부처위임확인,Y
2100000279774,교육부 총사업비 관리규정,훈령,교육부 시설사업 및 안전 심의위원회 운영규정; 건축법; 공공기관의 운영에 관한 법률,교육부 시설사업 및 안전 심의위원회 운영규정=법령검색실패; 건축법=위임없음; 공공기관의 운영에 관한 법률=위임없음,
2100000236252,교육부 행정전자서명 인증업무지침,고시,전자정부법,전자정부법=위임없음,
2100000208251,교육시설의 안전·유지관리기준,고시,건축법; 공간정보의 구축 및 관리 등에 관한 법률; 건축물의 피난ㆍ방화구조 등의 기준에 관한 규칙,건축법=위임없음; 공간정보의 구축 및 관리 등에 관한 법률=위임없음; 건축물의 피난ㆍ방화구조 등의 기준에 관한 규칙=위임없음,
2100000123551,교육정보통계관리규정,훈령,통계법; 공공기관의 운영에 관한 법률,통계법=위임없음; 공공기관의 운영에 관한 법률=위임없음,
2200000108569,교육행정체제통합지원단 설치 및 운영에 관한 규정,국무총리훈령,지방자치법,지방자치법=위임없음,
2100000231472,국가연구개발사업 보안대책,고시,"산업기술의 │
│유출방지 및 보호에 관한 법률; 대외무역법; 산업기술의 유출방지 및 보호에 관한 법률","산업기술의 │
│유출방지 및 보호에 관한 법률=법령검색실패; 대외무역법=위임없음; 산업기술의 유출방지 및 보호에 관한 법률=위임없음",
2100000273514,국가장학사업 운영규정,훈령,근로자직업능력 개발법,근로자직업능력 개발법=위임없음,
2100000275664,국립대학 통합 기록관리시스템(cRMS) 등 구축 및 운영 규정,훈령,공공기록물 관리에 관한 법률,공공기록물 관리에 관한 법률=위임없음,
2100000212329,기간제교원의 봉급 지급에 관한 예규,예규,공무원보수규정; 공무원연금법; 군인연금법; 국가공무원법; 지방공무원법; 훈령ㆍ예규 등의 발령 및 관리에 관한 규정,공무원보수규정=위임없음; 공무원연금법=위임없음; 군인연금법=위임없음; 국가공무원법=위임없음; 지방공무원법=위임없음; 훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000106955,농어촌학교 순회교원수당 및 복식수업수당 지급에 관한 훈령,훈령,농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법; 공무원수당 등에 관한 규정; 공무원보수규정; 훈령·예규 등의 발령 및 관리에 관한 규정,농어업인 삶의 질 향상 및 농어촌지역 개발촉진에 관한 특별법=위임없음; 공무원수당 등에 관한 규정=위임없음; 공무원보수규정=위임없음; 훈령·예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000178851,독학에 의한 학위취득 종합시험 합격결정 방식에 관한 규정,고시,훈령·예규 등의 발령 및 관리에 관한 규정,훈령·예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000188414,보조금의 교부 및 관리사무의 위임에 관한 고시,고시,훈령·예규 등의 발령 및 관리에 관한 규정,훈령·예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000002186,사내기술대학(원)의인정및사후관리등에관한기준,고시,훈령·예규 등의 발령 및 관리에 관한 규정,훈령·예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000246548,사립유치원 교직원의 봉급·수당에 관한 지침,예규,교육기관정보공개법; 교육기관정보공개법 시행령,교육기관정보공개법=위임없음; 교육기관정보공개법 시행령=위임없음,
2100000025884,세월호참사 관련 피해자 등의 교육비 지원 및 단원고등학교 교직원 휴직 등에 관한 세부지침,고시,4·16세월호참사 피해구제 및 지원 등을 위한 특별법; 4·16세월호참사 피해구제 및 지원 등을 위한 특별법 시행령,4·16세월호참사 피해구제 및 지원 등을 위한 특별법=위임없음; 4·16세월호참사 피해구제 및 지원 등을 위한 특별법 시행령=타부처위임확인,Y
2100000091472,수석교사 연구활동비 지급에 관한 규정,훈령,공무원 수당 등에 관한 규정,공무원 수당 등에 관한 규정=위임없음,
2100000247944,어린이집의 원장과 보육교사의 자격기준 중 한국보육진흥원 직원의 경력인정 기준에 관한 고시,고시,훈령ㆍ예규 등의 발령 및 관리에 관한 규정,훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000226306,연구윤리 확보를 위한 지침,훈령,기초연구진흥 및 기술개발지원에 관한 법률,기초연구진흥 및 기술개발지원에 관한 법률=위임없음,
2100000209470,영양교사 교직수당 가산금 지급 규정,훈령,공무원 수당 등에 관한 규정; 어린이 식생활안전관리 특별법; 식생활교육 지원법,공무원 수당 등에 관한 규정=위임없음; 어린이 식생활안전관리 특별법=위임없음; 식생활교육 지원법=위임없음,
2200000108503,영유아교육ㆍ보육통합 추진위원회의 설치 및 운영에 관한 규정,국무총리훈령,지방자치법,지방자치법=위임없음,
2100000269490,외국의 대학에서 박사학위를 받은 자의 신고에 관한 규칙,훈령,훈령ㆍ예규 등의 발령 및 관리에 관한 규정,훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000280968,입학정원 모집유보제 운영 기준 고시,고시,의료법,의료법=위임없음,
2100000179932,전문대학 3년제 학과 설치 기준에 관한 고시,고시,수도권정비계획법; 훈령ㆍ예규 등의 발령 및 관리에 관한 규정,수도권정비계획법=위임없음; 훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000091689,지방교육행정기관 예산낭비신고센터의 설치·운영에 관한 규정,훈령,지방재정법 시행령; 지방재정법,지방재정법 시행령=위임없음; 지방재정법=위임없음,
2100000242076,지방교육행정기관 총사업비 500억원 이상 신규사업에 대한 타당성 조사 전문기관,고시,지방재정법; 지방자치법,지방재정법=타부처위임확인; 지방자치법=위임없음,Y
2100000083469,직업교육훈련계약의 체결 및 운영에 관한 규정,고시,조세특례제한법; 조세특례제한법 시행령,조세특례제한법=위임없음; 조세특례제한법 시행령=위임없음,
2100000188170,학교시설 내진설계 기준 고시,고시,훈령·예규 등의 발령 및 관리에 관한 규정,훈령·예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000261398,학교 안전사고관리 지침,고시,훈령ㆍ예규 등의 발령 및 관리에 관한 규정,훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
2100000267004,「학점인정법」에 따른 제30차 표준교육과정,고시,학점인정법; 훈령ㆍ예규 등의 발령 및 관리에 관한 규정,학점인정법=위임없음; 훈령ㆍ예규 등의 발령 및 관리에 관한 규정=법령검색실패,
