id,행정규칙일련번호,행정규칙명,종류,발령일자,근거주장범주_자동,주장법령_자동,제1조발췌,상세링크,T1_규범성격,T2_메모
T011,576,교육공무원명예퇴직수당지급에관한특례규정,훈령,19941201,근거주장_없음,,"제1조(목적) 이 훈령은 국가공무원명예퇴직수당지급규정(이하 ""규정""이라 한다) ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=576&type=HTML&mobileYn=,대외구속지향,신분관계 — 교육공무원 명예퇴직수당 지급 특례(가이드 실례).
T012,2100000258052,교육공무원 호봉획정시 경력환산율표의 적용 등에 관한 예규,예규,20250423,본문없음(별표전용),,,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000258052&type=HTML&mobileYn=,,
T013,2100000002291,교육규제 관련 공문서 시행 및 관리에 관한 훈령,훈령,20140425,타부처법령_근거주장,공공기관의 정보공개에 관한 법률,제1조 (목적) 이 규정은 시·도교육청 및 단위학교에 불필요한 행정부담을 유발하는 불명확한 사무관리체계 및 관행을 개선하여 교육현장에서 자율적이고 창의적인 교육이 실시될 수 있는 여건을 조성하기 위함을 목적으로 한다. ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000002291&type=HTML&mobileYn=,내부관리,"시도교육청·단위학교 대상 공문서 시행·사무관리 개선 — 기관 간 사무처리 규율, 외부인 권리의무 규율 없음."
T014,2100000121267,교육기부 우수기관 인증제 운영규정,고시,20180411,근거주장_없음,,제1조(목적) 정부가 교육기부 우수기관 인증,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000121267&type=HTML&mobileYn=,대외구속지향,민간기관에 대한 '교육기부 우수기관' 인증(자격·지정)의 기준·절차.
T015,2100000245908,교육데이터전략위원회 설치 및 운영 규정,훈령,20240819,근거주장_없음,,"제1조(목적) 이 규정은 교육 분야 데이터에 관한 주요 사항을 논의하고, 교육부장관에게 자문하기 위한 교육데이터전략위원회(이하 ""위원회""라 한다)를 설치하고 그 운영에 관한 사항을 규정함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000245908&type=HTML&mobileYn=,내부관리,장관 자문 위원회 설치·운영.
T016,2100000276664,교육부 2030청년자문단 운영에 관한 규정,훈령,20260331,타부처법령_근거주장,청년기본법 시행령,제1조(목적) 이 규정은 교육부 정책에 대한 청년세대의 참여 기회를 보장하고 정책을 수립 및 추진하는 과정에서 청년들의 의견을 반영하기 위하여 교육부 2030청년자문단을 설치 및 운영하는 데 필요한 사항을 규정함을 목적으로 한다. ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000276664&type=HTML&mobileYn=,내부관리,청년자문단 설치·운영(자문기구).
T017,2100000183636,교육부 갈등관리 운영규정,훈령,20191114,타부처법령_근거주장,공공기관의 갈등 예방과 해결에 관한 규정; 공공기관의 갈등 예방과 해결에 관한 시행규칙,제1조(목적) 이 규정은 「공공기관의 갈등 예방과 해결에 관한 규정」과 「공공기관의 갈등 예방과 해결에 관한 시행규칙」의 시행에 관하여 필요한 사항 및 교육부의 갈등관리 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000183636&type=HTML&mobileYn=,내부관리,기관 내 갈등관리 체계(대통령령·총리령 이행).
T018,2100000256068,교육부 감사규정,훈령,20250306,근거주장_없음,,"제1조(목적) 이 규정은 「공공감사에 관한 법률」 및 「공공감사에 관한 법률 시행령」, 「지방자치법」",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000256068&type=HTML&mobileYn=,내부관리,감사규정(가이드 실례).
T019,2000000024212,교육부 감사활동수칙,훈령,20130614,타부처법령_근거주장,민법,"제1조(목적) 이 수칙은 교육부 감사담당 공무원(이하 ""감사공무원""이라 한다)이 감사활동과 관련하여 지켜야 할 행동기준과 절차 등을 규정함으로써 감사기강의 확립과 투명한 감사활동을 실시하는데 목적이 있다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2000000024212&type=HTML&mobileYn=,내부관리,감사공무원의 감사활동 행동기준(내부 수칙).
T020,2100000283462,교육부 개방형 직위 지정 및 공모 직위 선발심사위원회 구성 및 운영에 관한 규정,예규,20260731,타부처위임확인_D1제외,개방형 직위 및 공모 직위의 운영 등에 관한 규정; 국립의 각급학교에 두는 공무원의 정원에 관한 규정 시행규칙; 국가공무원법; 책임운영기관의 설치ㆍ운영에 관한 법률,"1. 목적이 규정은 「개방형 직위 및 공모 직위의 운영 등에 관한 규정」,「교육부와 그 소속기관 직제」, 「학술원사무국 직제」 및 「국립의 각급학교에 두는 공무원의 정원에 관한 규정 시행규칙」에 따라 교육부, 소속기관 및 국립학교에 두는 개방형 직위를 정하고,「국가공무원법」 제28조의4 및 제28조의5와 「개방형 직위 및 공모 직위의 운영 등에 관한 규정」 제15조 및 제16조에 따라 교육부 공모 직위 선발심사위원회의 구성 및 운영 등에 필요한 사항을 규정함을 목적으로 한다.　2. 개방형 직위가. 「개방형 직위 및 공모 직위의 운영",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000283462&type=HTML&mobileYn=,해당없음(타부처위임),
T021,2100000236216,교육부 개인정보 보호지침,훈령,20240207,근거주장_없음,,"제1조(목적) 이 지침은 「개인정보 보호법」(이하 ""법""이라 한다) ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000236216&type=HTML&mobileYn=,내부관리,개인정보보호법의 기관 내 이행 지침(내부 처리절차).
T022,2100000266452,교육부 계약심의위원회 운영 규정,훈령,20251107,근거주장_없음,,제1조(목적) 이 훈령은「국가를 당사자로 하는 계약에 관한 법률 시행령」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000266452&type=HTML&mobileYn=,내부관리,계약 관련 내부 심의위원회 운영.
T023,2100000204439,교육부 고문변호사 운영 규정,훈령,20210908,근거주장_없음,,제1조(목적) 이 규정은 교육부 고문변호사의 위촉 및 소송대리변호사의 위임에 관하여 필요한 사항을 규정함을 목적으로 한다. ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000204439&type=HTML&mobileYn=,내부관리,고문변호사 위촉·소송위임 사무(사법상 위촉의 내부 절차).
T024,2100000195701,교육부 공공데이터 품질관리 규정,훈령,20201217,타부처법령_근거주장,공공데이터의 제공 및 이용활성화에 관한 법률; 공공데이터의 제공 및 이용 활성화에 관한 법률; 국가정보화 기본법,제1조(목적) 이 규정은「공공데이터의 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000195701&type=HTML&mobileYn=,내부관리,공공데이터 품질관리 내부 사무.
T025,2100000270806,교육부 공공저작물 관리 지침,훈령,20251218,근거주장_없음,,제1조(목적) 이 지침은 「저작권법」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000270806&type=HTML&mobileYn=,내부관리,공공저작물 관리 내부 사무.
T026,2100000190380,교육부 공무국외출장규정,훈령,20200701,근거주장_없음,,제1조(목적) 이 규정은 「국가공무원 복무규정」,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000190380&type=HTML&mobileYn=,내부관리,공무국외출장의 허가·절차 중심 내부 규율 — 복무 관련이나 여비 실체 기준은 공무원여비규정(대통령령)이 정함.
T027,2100000020841,교육부 공무원 등의 직무관련 범죄고발지침,훈령,20150603,타부처법령_근거주장,형사소송법,제1조 (목적) 이 지침은 「공무원의 직무관련범죄 고발지침」(국무총리훈령 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000020841&type=HTML&mobileYn=,내부관리,직무관련범죄 고발 여부 판단·처리의 내부 기준(국무총리훈령 이행).
T028,2100000231062,교육부 공무원 행동강령,훈령,20231102,근거주장_없음,,제1조(목적) 이 영은 「부패방지 및 국민권익위원회의 설치와 운영에 관한 법률」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000231062&type=HTML&mobileYn=,내부관리,공무원 행동강령(가이드 실례).
T029,2100000259104,교육부 공익신고 처리 및 신고자 보호 등에 관한 운영지침,훈령,20250520,근거주장_없음,,"제1조(목적) 이 지침은 「공익신고자 보호법」(이하 ""법""이라 한다) 및 같은 법 시행령(이하 ""시행령""이라 한다)에 따라 교육부와 그 소속기관(이하 ""교육부""라 한다)에 신고 되는 공익신고의 접수ㆍ처리, 공익신고자 보호 및 지원 등에 관한 업무 절차를 정함으로써 공익침해행위 예방 및 공익신고자 보호",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000259104&type=HTML&mobileYn=,내부관리,공익신고 접수·처리·보호 지원의 내부 절차.
T030,2100000211167,교육부 공직자의 이해충돌 방지제도 운영지침,예규,20220504,근거주장_없음,,"제1조(목적) 이 지침은 「공직자의 이해충돌 방지법」(이하 ""법""이라 한다) 및 같은 법 시행령(이하 ""영""이라 한다)에서 규정하고 있는 이해충돌 방지 ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000211167&type=HTML&mobileYn=,내부관리,이해충돌 방지제도의 기관 내 운영 절차.
T031,2100000197814,(교육부) 국가연구개발성과 범부처 이어달리기 프로젝트 공통운영 지침,고시,20210202,타부처법령_근거주장,과학기술기본법; 국가연구개발혁신법; 동법 시행령,제1조(목적) 이 지침은「과학기술기본법」,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000197814&type=HTML&mobileYn=,대외구속지향,범부처 R&D 지원사업 공통운영 지침 — 외부 연구기관·기업의 선정·수행·제재 등 수익적 급부의 요건·기준.
T032,2100000283542,교육부 국고보조사업 관리규정,훈령,20260810,근거주장_없음,,제1조(목적) 이 규정은 「보조금 관리에 관한 법률」(이하 ‘보조금법’이라 한다)과 「보조금 관리에 관한 법률 시행령」(이하 ‘보조금법 시행령’이라 한다)및 기획예산처의 「국고보조금 통합관리지침」에 따라 보조사업을 원활하게 수행하고 보조금의 중복수급이나 부정수급을 방지하기 위하여 필요한 사항을 규정함으로써 보조금 관리의 효율성ㆍ투명성ㆍ책임성을 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000283542&type=HTML&mobileYn=,대외구속지향,국고보조사업 관리 — 보조사업자(외부 수급자)의 신청·수행·정산 등 관리 의무에 관계. 제재·환수의 법적 근거는 보조금법령이며 내부 집행절차 병존 — 전문 재확인 권장. [재확인 2026-08-18: 대외구속지향 유지 확정. 삭감·검증기관 수행제한·제재부가금 조항 코퍼스 전문으로 재검증.]
T033,2100000227602,교육부 국민 및 공무원 제안 운영규정,훈령,20230807,타부처법령_근거주장,국민 제안 규정; 공무원 제안 규정; 교육부 정책실명제 운영규정,제1조 (목적) 이 규정은 「국민 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000227602&type=HTML&mobileYn=,내부관리,국민·공무원 제안의 접수·심사·포상 처리 절차(포상 실체는 국민제안규정 등 대통령령).
T034,2100000244826,교육부 국제개발협력 평가지침,예규,20240719,타부처법령_근거주장,국제개발협력기본법,"<img id=""142821519""></img>□ 배경ㆍ근거ㅇ (배경) 교육부가 추진하는 국제개발협력정책 및 사업에 대한 자체평가를 통해 사업성과 등을 체계적ㆍ지속적 보완관리 필요ㅇ (근거) 「국제개발협력기본법」제16조, 「국제개발협력 평가지침」(국조실예규)제7조에 따라 시행기관별 자체평가 계획 수립ㆍ제출 및 결과보고 의무화<img id=""142821517""></img>□ 목적ㅇ 국제개발협력 사업의 목적을 명확히 하고, 효과성과 효율성을 제고하여 향후 사업 추진에 대한 학습 및 정책결정기반 마련ㅇ 국제개발협력 사업의 성과를 체계적으",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000244826&type=HTML&mobileYn=,내부관리,ODA 사업 자체평가 사무(국조실 예규 이행).
T035,2100000219852,교육부 규제심의 및 적극행정위원회 운영 규정,훈령,20230222,타부처법령_근거주장,행정규제기본법; 적극행정 운영규정; 양성평등기본법; 청년기본법,제1조(목적) 이 훈령은 「행정규,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000219852&type=HTML&mobileYn=,내부관리,규제심의·적극행정위원회 운영(내부 위원회).
T036,2100000193561,교육부 기록관 운영규정,훈령,20201006,교육부법령_근거주장,공공기록물 관리에 관한 법률; 국립학교 설치령; 행정 효율과 협업 촉진에 관한 규정,"제1조(목적) 이 규정은「공공기록물 관리에 관한 법률」(이하 ""법”이라 한다), 같은 법 시행령(이하 ""영”이라 한다), 같은 법 시행규칙에 따라 교육부 및 관할 공공기관의 기록물관리와 기록관 설치·운영에 관한 사항을 정함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000193561&type=HTML&mobileYn=,내부관리,기록물관리·기록관 운영 사무.
T037,2100000001469,교육부 기술(제안서) 평가업무 처리규정,훈령,20140605,타부처법령_근거주장,국가를 당사자로 하는 계약에 관한 법률 시행령,"제1조(목적) 이 기준은 교육부, 소속기관, 국립대학 및 국립학교의 물품·용역계약 기술성 평가를 위하여 필요한 사항을 정함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000001469&type=HTML&mobileYn=,내부관리,물품·용역계약 기술평가의 내부 처리기준 — 입찰참가자 이해에 사실상 영향이 있으나 계약사무 내부 기준.
T038,2100000270224,교육부명칭변경에따른교육부종합교육자료실설치및운영규정등의개정규정,훈령,20010623,근거주장_없음,,제1조(교육부종합교육자료실설치및운영규정의 개정) 교육부종합교육자료실설치및운영규정중 다음과 같이 개정한다.,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000270224&type=HTML&mobileYn=,내부관리,부처 명칭변경에 따른 형식적 개정규정(2001) — 개정 대상이 내부 자료실 운영규정이고 개정 집행 완료.
T039,2100000270140,교육부명칭변경에따른기능직공무원시험과목지정등의개정예규,예규,20010623,근거주장_없음,,"제1조(교육부명칭변경에따른기능직공무원시험과목지정등의개정예규) 교육부명칭변경에따른기능직공무원시험과목지정등의개정예규중 다음과 같이 개정한다.5의가중 ""교육부장관""을 ""교육인적자원부장관""으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000270140&type=HTML&mobileYn=,내부관리,부처 명칭변경에 따른 형식적 개정예규(2001) — 개정 내용이 기관명 대체에 한정(집행 완료). 원규범(기능직 시험과목 지정)은 응시자 관련이나 본건 자체는 형식 개정.
T040,2100000190022,교육부 민원사무 처리규정,훈령,20200610,타부처법령_근거주장,민원 처리에 관한 법률,"제1조(목적) 이 규정은 「민원 처리에 관한 법률」(이하 ""법""이라 한다.), 같은 법 시행령(이하 ""영""이라 한다.) 및 같은 법 시행규칙(이하 ""규칙""이라 한다.)의 시행에 필요한 사항을 규정하여 교육부(소속기관을 포함한다. 이하 같다)에 접수된 민원을 적정하게 처리함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000190022&type=HTML&mobileYn=,내부관리,민원 처리의 내부 절차(민원인 권리는 민원처리법령이 규율).
T041,2100000250666,교육부 방첩업무규정 시행세칙,훈령,20250101,근거주장_없음,,제1조(목적) 이 훈령은 「방첩업무 규정」의 적절한 운영을 기하기 위해 필요한 사항을 규정함을 목적으로 한다. ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000250666&type=HTML&mobileYn=,내부관리,방첩업무규정 시행세칙 — 보안업무 계열(가이드 실례 유형).
T042,2100000183593,교육부 법제업무 운영에 관한 훈령,훈령,20191113,타부처법령_근거주장,법제업무 운영규정; 국회법,제1조(목적) 이 훈령은 「법,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000183593&type=HTML&mobileYn=,내부관리,법제업무 운영 절차.
T043,2100000228840,교육부 보안업무규정 시행세칙,훈령,20230901,근거주장_없음,,"제1조(목적) 이 훈령은 「보안업무규정시행규칙」(이하 ""규칙""이라 한다) ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000228840&type=HTML&mobileYn=,내부관리,보안업무규정 시행세칙(가이드 실례).
T044,2100000060853,교육부 부정청탁 및 금품등 수수의 신고사무 처리지침,훈령,20160928,타부처법령_근거주장,부정청탁 및 금품등 수수의 금지에 관한 법률; 부정청탁 및 금품등 수수의 금지에 관한 법률 시행령,제1조(목적) 이 지침은 「부정청탁 및 금품등 수수의 금지에 관한 법률」 및 같은 법 시행령에서 규정하고 있는 부정청탁 및 금품등 수수의 신고 접수 및 처리 등의 업무를 적정하고 효율적으로 수행하는데 필요한 사항을 정함을 목적으로 한다. ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000060853&type=HTML&mobileYn=,내부관리,청탁금지법상 신고사무의 접수·처리 절차.
T045,2100000213694,교육부 부패행위 신고 등에 관한 운영지침,훈령,20220809,근거주장_없음,,"제1조(목적) 이 규정은 교육부와 그 소속기관 공무원의 부패행위 및「교육부 공무원 행동강령」위반행위 신고(이하 ""부패행위 등 신고""로 한다)에 대해 원활하고 효율적인 접수ㆍ처리 및 포상 등을 위해 필요한 사항을 정함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000213694&type=HTML&mobileYn=,내부관리,부패행위 신고의 접수·처리·포상 내부 절차.
T046,2100000261436,교육부 사이버안전센터 운영규정,훈령,20250731,교육부법령_근거주장,정보통신기반 보호법; 국가사이버안전관리규정; 전기통신기본법; 유아교육법; 초ㆍ중등교육법; 고등교육법,제1조 (목적) 이 규정은 「정보통신기반 보호법」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000261436&type=HTML&mobileYn=,내부관리,교육분야 사이버 보안관제·침해대응 사무 — 대학 등 참여기관과의 관계는 협약·협조 기반으로 봄.
T047,2100000178830,(교육부) 산업단지캠퍼스 및 산학융합지구 조성사업 운영규정,고시,20190527,근거주장_없음,,"제1조(목적) 이 규정은 교육부의 ""산업교육진흥 및 산학연협력촉진에 관한 법률"", 산업통상자원부의 ""산업기술혁신촉진법"", ""산업집적활성화 및 공장설립에 관한 법률""을 근거로, 「산업단지캠퍼스조성사업」, 「산학융합지구조성사업」의 효율적 추진과 관리를 위해 필요한 세부사항을 정함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000178830&type=HTML&mobileYn=,대외구속지향,대학(사립 포함) 대상 재정지원사업(산단캠퍼스·산학융합지구)의 선정·관리 — 수익적 급부의 요건·기준.
T048,2100000274278,교육부 성희롱·성폭력·스토킹 예방 및 2차 피해 방지 지침,훈령,20260204,근거주장_없음,,제1조(목적) 이 지침은 「양성평등기본법」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000274278&type=HTML&mobileYn=,내부관리,기관 내 성희롱·성폭력 등 예방·2차 피해 방지 체계.
T049,2100000001470,교육부 소관 국유재산 관리에 관한 훈령,훈령,20140605,근거주장_없음,,"제1조(목적) 이 규정은 국유재산법(이하 ""법""이라 한다)에 따라 총괄청이 교육부장관에게 위임한 사항과 법 ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000001470&type=HTML&mobileYn=,내부관리,소관 국유재산 관리사무의 내부 기준(사용허가 등 처분사무의 내부 처리).
T050,2100000251460,교육부 소관 기타공공기관 경영실적평가에 관한 규정,훈령,20241218,타부처법령_근거주장,공공기관의 운영에 관한 법률,제1조(목적) 이 훈령은 교육부 소관 기타공공기관의 경영실적평가에 관한 사항을 정하여 공정하고 효율적인 평가를 통한 기관의 경영혁신 및 책임경영 확립을 도모함을 목적으로 한다. ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000251460&type=HTML&mobileYn=,대외구속지향,소관 기타공공기관(별도 법인)에 대한 경영실적평가 — 자료제출·평가·후속조치가 기관의 권리의무에 관계(감독관계 성격 병존).
T051,2100000261438,교육부 소관 주요정보통신기반시설 보호지침,훈령,20250731,근거주장_없음,,제1조(목적) 이 지침은 「정보통신기반 보호법」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000261438&type=HTML&mobileYn=,내부관리,주요정보통신기반시설 보호의 내부 지침.
T052,2100000280890,교육부 소관 행정권한의 위임 및 위탁에 관한 고시,고시,20260630,타부처위임확인_D1제외,행정권한의 위임 및 위탁에 관한 규정,제1조(목적) 이 고시는 「행정권한의 위임 및 위탁에 관한 규정」 ,/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000280890&type=HTML&mobileYn=,해당없음(타부처위임),
T053,2100000057890,교육부 소관 회계직공무원 관직지정에 관한 규정,훈령,20160901,타부처법령_근거주장,국가회계법; 국고금관리법; 국가채권관리법; 국유재산법; 물품관리법; 국가를 당사자로 하는 계약에 관한 법률; 국고금관리법 시행령; 정부보관금 취급규칙; 정부유가증권 취급규정; 물품관리법시행령; 교육부 위임전결 규정,"제1조(목적) 이 규정은 「국가회계법」, 「국고금관리법」, 「국가채권관리법」, 「국유재산법」, 「물품관리법」 등 회계관계 법령에 따라 교육부 소관 국고 회계사무의 효율적인 처리를 위해 회계직공무원 관직지정과 임면권 위임에 관한 사항을 규정함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000057890&type=HTML&mobileYn=,내부관리,회계직공무원 관직지정·임면권 위임(조직 내부 사무).
T054,2100000241120,교육부 시민감사관 설치 및 운영에 관한 규정,훈령,20240701,타부처법령_근거주장,"교육부 시민감사관 설치 및 운영        ┃
┃에 관한 규정","제1조(목적) 이 규정은 교육행정업무에 대한 국민의 감시기능을 강화하고, 공정하고 투명한 감사행정을 실현하기 위하여 교육부 시민감사관의 설치 및 그 운영에 필요한 사항을 규정함을 목적으로 한다. ",/DRF/lawService.do?OC=YOUR_OC&target=admrul&ID=2100000241120&type=HTML&mobileYn=,내부관리,시민감사관 위촉·운영(감사 보조기구).
