판독순위,tier,score,source,id,사건번호,선고일자,법원,사건명,매칭쿼리,강한신호,판시사항,요지,링크,O1_무효판단,O2_결함유형,O3_대상규정명,O4_대상규정일련번호,O5_메모,O6_판시유형,O7_대상층위,O8_코퍼스관계
21,B,9,prec,180243,2015두53121,2016.01.28,대법원,호봉정정신청거부처분취소,대외적 구속력 예규; 대외적 구속력,위임의?\s*한계,[1] 구 지방공무원보수업무 등 처리지침이 법규명령으로서의 효력을 갖는지 여부(적극) [2] 구 지방공무원보수업무 등 처리지침 [별표 1] ‘직종별 경력환산율표 해설’에서 정한 민간근무경력의 호봉 산정에 관한 부분 중 ‘그에 상응하는 경력’의 의미 및 그에 해당하는지 판단하는 방법 ,"[1] 구 지방공무원보수업무 등 처리지침(2014. 8. 8. 안전행정부 예규 제104호로 개정되기 전의 것, 이하 ‘지침’이라 한다) [별표 1] ‘직종별 경력환산율표 해설’이 정한 민간근무경력의 호봉 산정에 관한 부분은 지방공무원법 제45조 제1항과 구 지방공무원 보수규정(2014. 11. 19. 대통령령 제25751호로 개정되기 전의 것) 제8조 제2항, 제9조의2 제2항, [별표 3]의 단계적 위임에 따라 행정자치부장관이 행정규칙의 형식으로 법령의 내용이 될 사항을 구체적으로 정한 것이고, 달리 지침이 위 법령의 내용 및 취지에 저촉된다거나 위임 한계를 벗어났다고 보기 어려우므로, 지침은 상위법령과 결합하여 대외적인 구속력이 있는 법규명령으로서의 효력을 갖게 된다. [2] 구 지방공무원법(2014. ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=180243&type=HTML&mobileYn=,N,,,,"구 지방공무원보수업무 등 처리지침(안전행정부 예규) [별표 1] 경력환산율표 해설 부분: 지방공무원법→보수규정→지침의 단계적 위임에 따른 법령보충으로 법규명령 효력 인정, 위임 한계 일탈 아님(유효).",,,
22,B,8,prec,600303,2022두32382,2025.01.09,대법원,"종합소득세경정거부처분취소[초과인출금에 상당하는 부채의 지급이자를 가사관련경비로 정하여 필요경비에 산입하지 않도록 한 소득세법 시행령 제61조 제1항 제2호, 소득세법 시행규칙 제27조 제1항이 소득세법 제33조 제1항 제5호의 위임범위를 벗어났는지 문제 된 사건]",위임한계를 벗어나; 위임범위를 벗어나,"위임범위를?\s*벗어,무효", 법규명령이 법률의 위임범위를 벗어났는지 판단하는 방법 / 어느 시행령 규정이 모법에 저촉되는지 판단하는 기준 / 소득세법 시행령 제61조 제1항 제2호 및 소득세법 시행규칙 제27조 제1항이 가사관련경비와 관련하여 소득세법 제33조 제1항 제5호의 위임범위를 벗어났는지 여부(소극) ," 법규명령이 법률의 위임범위를 벗어났는지는 직접적인 위임 법률조항의 형식과 내용뿐만 아니라 법률의 전반적인 체계와 목적 등도 아울러 고려하여 법률의 위임범위나 한계를 객관적으로 확정한 다음 법규명령의 내용과 비교해서 판단하여야 한다. 법규명령의 내용이 위와 같이 확정된 법률의 위임범위 내에 있다고 인정되거나 법률이 예정하고 있는 바를 구체적으로 명확하게 한 것으로 인정되면 법규명령은 무효로 되지 않는다. 어느 시행령 규정이 모법에 저촉되는지가 명백하지 않은 경우에는 모법과 시행령의 다른 규정들과 그 입법 취지, 연혁 등을 종합적으로 살펴 모법에 합치된다는 해석도 가능한 경우라면 그 규정을 모법 위반으로 무효라고 선언해서는 안 된다. 소득세법 제33조 제1항 제5호는 거주자가 해당 과세기간에 지급하였거나 지급",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=600303&type=HTML&mobileYn=,N,,,,소득세법 시행령 제61조 제1항 제2호·시행규칙 제27조 제1항: 소득세법 제33조 제1항 제5호의 위임범위 일탈 아님(유효). 하위법령의 합헌적(모법합치적) 해석 우선 법리.,,,
23,B,8,prec,233855,2020두43722,2023.02.02,대법원,건축허가신청불허가처분취소,대외적 구속력 훈령; 위임 없이 훈령; 대외적 구속력,대외적\s*구속력이?\s*(없|인정되지),"  [1] 국토의 계획 및 이용에 관한 법률 시행령 제56조 제4항에 따라 국토교통부장관이 국토교통부 훈령으로 정한 ‘개발행위허가운영지침’의 법적 성격(=행정규칙) 및 대외적 구속력이 있는지 여부(소극) / 위 지침에 따라 이루어진 행정처분이 적법한지 판단하는 기준   [2] 국토의 계획 및 이용에 관한 법률 제56조 제1항에 따른 개발행위허가요건에 해당하는지 여부가 행정청의 재량판단 영역에 속하는지 여부(적극) 및 그에 대한 사법심사의 대상과 판단 기준 / 행정규칙이 행정기관의 재량에 속하는 사항에 관한 것인 경우, 법원은 이를 존중해야 하는지 여부(원칙적 적극)   [3] 행정처분의 근거 법령이 개정된 경우, 처분의 기준이 되는 법령 / 행정청이 신청을 수리한 후 정당한 이유 없이 처리를 지연하여 그 사","  [1] 국토의 계획 및 이용에 관한 법률(이하 ‘국토계획법’이라 한다) 제58조 제1항, 제3항은 개발행위허가의 신청 내용이 ‘주변지역의 토지이용실태 또는 토지이용계획, 건축물의 높이, 토지의 경사도, 수목의 상태, 물의 배수, 하천·호소·습지의 배수 등 주변 환경이나 경관과 조화를 이룰 것’이라는 기준에 맞는 경우에만 개발행위허가 또는 변경허가를 하여야 하고, 개발행위허가의 기준은 지역의 특성, 지역의 개발상황, 기반시설의 현황 등을 고려하여 다음 각호의 구분에 따라 대통령령으로 정한다고 규정하고 있다. 국토의 계획 및 이용에 관한 법률 시행령(이하 ‘국토계획법 시행령’이라 한다) 제56조 제1항 [별표 1의2] ‘개발행위허가기준’은 국토계획법 제58조 제3항의 위임에 따라 제정된 대외적으로 구속력 있",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=233855&type=HTML&mobileYn=,Y,기타,'개발행위허가운영지침'(국토교통부 훈령),,국토계획법 시행령 제56조 제4항에 근거를 두나 법규 보충이 아닌 세부 검토기준으로서 행정규칙(재량준칙)에 불과하여 대외적 구속력 없음(소극) 판시. 위임 '결함' 판정이라기보다 규범 성질 결정 — 처분 적법성은 상위법령 기준으로 판단. 국토부 소관 현행 훈령 존재 — 교육부 코퍼스 무관.,구속력부정,행정규칙(훈령),타부처현행
24,B,8,prec,196244,97누19915,1998.06.09,대법원,토지형질변경불허가처분취소,대외적 구속력 훈령,위임의?\s*한계,[1] 행정규칙의 법규성 [2] 개발제한구역관리규정의 법적 성질 [3] 관계 법령에 규정된 허용범위 내에서의 당해 토지 형질변경허가신청에 대하여 개발제한구역관리규정에만 의거하여 불허가처분을 한 것이 위법하다고 본 사례 ,"  [1] 상급행정기관이 하급행정기관에 대하여 업무처리지침이나 법령의 해석적용에 관한 기준을 정하여 발하는 이른바 행정규칙은 일반적으로 행정조직 내부에서만 효력을 가질 뿐 대외적인 구속력을 갖는 것은 아니지만, 법령의 규정이 특정행정기관에게 그 법령내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 그 권한행사의 절차나 방법을 특정하고 있지 아니한 관계로 수임행정기관이 행정규칙의 형식으로 그 법령의 내용이 될 사항을 구체적으로 정하고 있는 경우, 그러한 행정규칙, 규정은 행정조직 내부에서만 효력을 가질 뿐 대외적인 구속력을 갖지 않는 행정규칙의 일반적 효력으로서가 아니라, 행정기관에 법령의 구체적 내용을 보충할 권한을 부여한 법령규정의 효력에 의하여 그 내용을 보충하는 기능을 갖게 되고, 따라서 당해 법령",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=196244&type=HTML&mobileYn=,Y,D1,'개발제한구역관리규정'(건설교통부 훈령),,관계 법령의 위임 없이 허가요건을 정한 행정청 내부 사무처리준칙으로 대외적 구속력 없음 → 이 규정에만 의거한 형질변경 불허가처분 위법. 구 훈령 — 현행 부존재.,구속력부정,행정규칙(훈령),폐지·실효
25,B,8,prec,118672,87구488,1989.08.22,서울고등법원,양도소득세등부과처분취소,대외적 구속력 훈령,"위임의?\s*한계,무효","가. 구 재산제세조사사무처리규정(1987.1.26. 국세청훈령 제980호로 개정전) 제72조 제3항 제5호가 소득세법시행령 제170조 제4항 제2호의 위임한계를 벗어난 무효의 규정인지 여부 나. 위 규정 제72조 제3항 제3호 소정의 ""선의의 실수요자로 위장하여""의 의미 ",가. 소득세법시행령 제170조 제4항 제2호의 규정은 어떠한 거래를 투기거래로 볼 것인지에 대하여 구체적인 사항을 국세청장이 정하도록 위임하면서 국세청장은 사전에 지역에 따라 어느 규모이상의 부동산거래는 투기거래에 해당한다고 하는 내용으로 일정 기준을 설정할 것과 투기거래의 유형을 명확하게 특정하여 규정해 두어야 한다는 취지가 포함되어 있음과 동시에 본래 투기거래는 그 행위가 정형화되어 있지 아니하고 그 방법과 수단이 천태만별이어서 일률적으로 그 유형을 정하기가 어려운 점을 고려하여 국세청장이 부동산거래특별조사 등을 통하여 밝혀진 거래중에서 이미 구체적으로 정형화하여 규정하여 둔 투기거래의 유형에 준하는 거래가 있을 때는 사후적으로 이를 투기거래로 지정하여 그 거래에 대하여는 실지거래가액으로 과세할 수 있다,/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=118672&type=HTML&mobileYn=,N,,,,구 재산제세조사사무처리규정 제72조 제3항 제5호: 시행령 제170조 제4항 제2호의 위임 취지(사전 유형 설정 + 이에 준하는 거래의 사후 지정 허용)에 포함되어 위임한계 일탈 무효 아님(유효) 취지(서울고법).,,,
26,B,8,prec,231119,86구588,1988.04.12,서울고등법원,종합소득세부과처분취소,대외적 구속력 훈령,위임의?\s*한계,가. 재산제세사무처리규정(국세청장의 훈령)의 법규명령으로서의 효력유무(적극) 나. 동일 과세년도에 2회 이상의 자산양도가 있는 경우 양도소득세액의 계산방법 ,"가. 상급행정기관이 하급행정기관에 대하여 업무처리지침이나 법령의 해석적용에 관한 기준을 정하여서 발하는 이른바 행정규칙은 일반적으로 행정조직내부에서만 효력을 가질 뿐 대외적인 구속력을 갖는 것은 아니지만, 법령의 규정이 특정행정기관에게 그 법령내부의 구체적 사항을 정할 수 있는 권한을 부여하면서 그 권한행사의 절차나 방법을 특정하고 있지 아니한 관계로 수임행정기관이 행정규칙의 형식으로 그 법령의 내용이 될 사항을 구체적으로 정하고 있다면 그와 같은 행정규칙, 규정은 행정규칙이 갖는 일반적 효력으로서가 아니라, 행정기관에 법령의 구체적 내용을 보충할 권한을 부여한 법령규정의 효력에 의하여 그 내용을 보충하는 기능을 갖게 된다 할 것이므로 이와 같은 행정규칙, 규정은 당해법령의 위임한계를 벗어나지 아니하는 한 ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=231119&type=HTML&mobileYn=,N,,,,"재산제세사무처리규정(국세청훈령): 법령보충적 행정규칙으로 위임한계 내에서 법규명령 효력 인정(유효, 서울고법).",,,
27,B,8,prec,103624,86누484,1987.09.29,대법원,양도소득세부과처분취소,대외적 구속력 훈령,위임의?\s*한계,가. 행정규칙의 법규성 나. 재산제세사무처리규정 제72조 제3항이 양도소득세의 실지거래가액에 의한 과세의 법령상 근거가 될 수 있는지 여부(적극) ,"가. 상급행정기관이 하급행정기관에 대하여 업무처리지침이나 법령의 해석적용에 관한 기준을 정하여서 발하는 이른바 행정규칙은 일반적으로 행정조직 내부에서만 효력을 가질뿐 대외적인 구속력을 갖는 것은 아니지만, 법령의 규정이 특정행정기관에게 그 법령내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 그 권한행사의 절차나 방법을 특정하고 있지 아니한 관계로 수임행정기관이 행정규칙의 형식으로 그 법령의 내용이 될 사항을 구체적으로 정하고 있다면 그와 같은 행정규칙, 규정은 행정규칙이 갖는 일반적 효력으로서가 아니라, 행정기관에 법령의 구체적 내용을 보충할 권한을 부여한 법령규정의 효력에 의하여 그 내용을 보충하는 기능을 갖게 된다 할 것이므로 이와 같은 행정규칙, 규정은 당해 법령의 위임한계를 벗어나지 아니하는 한",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=103624&type=HTML&mobileYn=,N,,,,"재산제세사무처리규정 제72조 제3항: 법령보충적 행정규칙으로 실지거래가액 과세의 법령상 근거가 될 수 있음(법규성 인정, 유효).",,,
28,B,8,prec,178726,2011두8420,2014.03.27,대법원,근로시간면제한도고시무효확인,대외적 구속력 고시; 대외적 구속력,"위임범위를?\s*벗어,위임의?\s*한계","[1] 특정 사안과 관련하여 법률에서 하위 법령에 위임한 경우, 하위 법령이 위임의 한계를 준수하고 있는지 판단하는 기준 [2] 법령의 위임에 따라 수임 행정기관이 법령의 내용이 될 사항을 구체적으로 규정한 고시의 효력 [3] 근로시간 면제한도를 정할 때 시간과 그 사용 인원을 정할 수 있도록 한 노동조합 및 노동관계조정법 시행령 제11조의2는 근로시간 면제제도의 입법 목적을 구현하기 위하여 근로시간의 면제한도를 구체적으로 규정한 것으로 모법의 위임범위를 벗어났다거나 한계를 일탈한 것으로 볼 수 없다고 한 사례 ",,/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=178726&type=HTML&mobileYn=,N,,,,"노조법 시행령 제11조의2는 모법 위임범위 내(유효)이고, 고용노동부 '근로시간 면제한도' 고시도 법령보충적 고시로 효력 인정. 요지란 공란은 원자료 누락.",,,
29,B,8,prec,225607,2014두3020,2019.10.17,대법원,임금·임금,대외적 구속력 예규; 대외적 구속력; 법규명령 행정규칙 효력,위임의?\s*한계,"  [1] 현업공무원 등의 지방공무원은 근무명령에 의하여 실제로 초과근무한 시간에 해당하는 초과근무수당의 지급을 구할 수 있는지 여부(원칙적 적극) 및 구 지방공무원보수업무 등 처리지침이 현업대상자에 대하여 시간외근무수당의 월 지급시간을 ‘예산의 범위 내’로 정하도록 규정하거나, 지방자치단체가 예산의 편성지침에 의하여 실제 근무한 초과근로시간에 미달되도록 초과근무수당을 예산에 편성한 경우에도 마찬가지인지 여부(적극)   [2] 근로시간과 휴게시간의 의미 및 근로계약에서 정한 휴식시간이나 수면시간이 근로시간에 속하는지 휴게시간에 속하는지 판단하는 방법   [3] 법령의 규정이 특정 행정기관에 그 법령 내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 권한 행사의 절차나 방법을 특정하고 있지 않아 수임행정기","  [1] 구 지방공무원법(2012. 12. 11. 법률 제11531호로 개정되기 전의 것) 제44조 제4항, 제45조 제1항, 지방공무원 보수규정 제30조, 구 지방공무원수당 등에 관한 규정(2011. 1. 10. 대통령령 제22620호로 개정되기 전의 것) 제15조, 제16조, 제17조, 구 지방재정법(2011. 8. 4. 법률 제10991호로 개정되기 전의 것) 제36조 제1항, 지방공무원 복무규정 제5조의 규정 내용을 종합하면, 지방공무원의 수당은 법령에 의하여 정해지므로, 해당 법령에서 정한 시간외근무수당, 야간근무수당, 휴일근무수당 등의 초과근무수당이 예산에 계상된 이상 지방공무원 복무규정 제5조에서 말하는 현업공무원 등의 지방공무원은 근무명령에 의하여 실제로 초과근무한 시간에 해당하는 초과근무수",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=225607&type=HTML&mobileYn=,부분,기타,구 지방공무원보수업무 등 처리지침(행정자치부·안전행정부 예규) 중 현업대상자 시간외근무수당의 월 지급시간을 '예산의 범위 내'로 정하도록 한 부분,,"법령(지방공무원법·수당규정)에서 정한 초과근무수당 청구권을 지침으로 제한할 수 없다고 보아 해당 부분의 대외적 효력을 부정(위임한계 밖, 2019.10.17. 상고기각). 명시적 '무효' 선언이 아닌 효력 배제형 판시. 행안부 소관 — 교육부 코퍼스 무관.",구속력부정,행정규칙(예규),타부처(구 지침)
30,B,8,prec,220321,2020추5169,2022.04.14,대법원,조례안의결무효확인,재위임,"무효,재위임",  [1] 위임명령은 법률이나 상위명령에서 구체적으로 범위를 정한 개별적인 위임이 있어야 가능한지 여부(적극) 및 이때 구체적인 위임의 범위와 그에 관한 예측가능성 유무를 판단하는 기준과 방법 / 이러한 법리는 조례가 법률로부터 위임받은 사항을 다시 지방자치단체장이 정하는 ‘규칙’ 등에 재위임하는 경우에도 적용되는지 여부(적극)   [2] 서초구의회가 의결한 ‘시가표준액 9억 원 이하의 1가구 1개 주택을 소유한 개인에 대하여 지방세법이 정한 재산세의 세율을 표준세율의 100분의 50으로 감경하는’ 내용의 ‘서울특별시 서초구 구세 조례 일부 개정 조례안’에 대하여 서울특별시장이 지방세법 위반의 소지가 있다는 이유로 재의요구를 지시하였으나 구청장이 따르지 않고 공포하자 조례안 의결의 효력 배제를 구하는 무효확,"  [1] 위임명령은 법률이나 상위명령에서 구체적으로 범위를 정한 개별적인 위임이 있을 때에 가능하고, 여기에서 구체적인 위임의 범위는 규제하고자 하는 대상의 종류와 성격에 따라 달라지는 것이어서 일률적 기준을 정할 수는 없지만, 적어도 위임명령에 규정될 내용 및 범위의 기본사항이 구체적으로 규정되어 있어서 누구라도 당해 법률이나 상위법령으로부터 위임명령에 규정될 내용의 대강을 예측할 수 있어야 한다. 하지만 이 경우 그 예측가능성의 유무는 당해 위임조항 하나만을 가지고 판단할 것이 아니라 그 위임조항이 속한 법률의 전반적인 체계와 취지 및 목적, 당해 위임조항의 규정형식과 내용 및 관련 법규를 유기적·체계적으로 종합하여 판단하여야 하며, 나아가 각 규제 대상의 성질에 따라 구체적·개별적으로 검토함을 요한다",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=220321&type=HTML&mobileYn=,N,,,,조례 사안(2022.4.14. 청구기각): 서초구 재산세 감경 조례안은 지방세법 제111조 제3항의 위임(탄력세율) 범위 내로 유효. 대상규범이 조례(자치법규)임.,,,
31,B,8,prec,70616,2006구합17383,2006.12.05,서울행정법원,군사시설보호구역설정처분무효확인,재위임,"무효,재위임","[1] 군사시설보호법령에 의하여 일정지역을 군사시설보호구역으로 설정하는 처분 이전부터 그 설정지역 안에 있는 토지 또는 건축물의 소유자이거나, 그 지역에 거주 또는 영농행위를 하고 있는 사람에게 위 처분의 무효 또는 취소를 구할 원고적격이 있는지 여부(적극)  [2] 군사시설보호구역의 설정 절차에 관한           군사시설보호법 시행규칙 제2조 제1항의 법적 성질(=행정청 내부의 사무처리준칙) 및 군사시설보호법상 군사시설보호구역을 설정함에 있어서 관할부대장이 합동참모의장에게 보호구역 설정을 건의하기 전에 관계행정기관의 장과 협의하지 아니한 경우, 군사시설보호구역 설정처분이 대외적 구속력이 있는 법령상 절차를 위반한 것인지 여부(소극) [3] 군사시설보호법령에서 정한 ‘군사시설’의 의미 및 현존하지는 않","[1] 군사시설보호법령에 비추어 보면, 적어도 일정지역을 군사시설보호구역으로 설정하는 처분 전부터 그 설정지역 안에 있는 토지 또는 건축물의 소유자이거나, 혹은 그 소유자가 아니더라도 그 설정지역에 거주 또는 영농행위를 하고 있는 사람에게는, 위 군사시설보호구역 설정처분으로 인하여 주거지에의 출입 및 영농행위, 임목의 벌채 및 개간행위의 제한 등 주거의 자유권, 사생활의 비밀과 자유권, 재산권 등의 권리가 제한되고(주거의 자유권은 그 점유가 민법상 점유권원이 있는지 여부에 불문하고 보호되어야 할 권리이고, 농작물은 그 점유권원에 불구하고 경작자의 소유라는 점에서 자신의 토지가 아니라는 이유만으로 곧바로 영농행위가 제한되는 것은 아니다), 이는 법률상 보호받는 이익의 침해에 해당하므로, 위 처분의 무효 또는 ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=70616&type=HTML&mobileYn=,Y,기타,군사시설보호법 시행규칙 제2조 제1항(보호구역 설정 건의 전 관계기관 협의 절차 부분),,부령 조항을 행정청 내부의 사무처리준칙으로 성질결정하여 대외적 구속력 있는 법령상 절차가 아니라고 판시(협의 누락이 처분 위법사유 아님). 하급심(서울행정법원). '법규명령 형식의 행정규칙' 계열.,구속력부정,부령(시행규칙),타부처
32,B,8,prec,69921,2003구합24021,2004.11.11,서울행정법원,용역비등,재위임,무효, [1] 국민건강보험법령에 따라 제정된 보건복지부고시 ‘건강보험요양급여행위및그상대가치점수(2002. 11. 15. 보건복지부고시 제2002-78호)’가 대외적인 구속력을 갖는 법규명령으로서의 효력이 있으므로 위 고시 자체의 취소를 구하는 행정소송을 제기할 수 없다고 한 사례   [2] 진료행위별 수가제를 적용하는 일반 요양기관과 달리 사회복지법인 부설 요양기관에 대하여 방문당 정액수가제를 적용할 것을 규정한 보건복지부고시 ‘건강보험요양급여행위및그상대가치점수(2002. 11. 15. 보건복지부고시 제2002-78호)’의 규정이 헌법상 평등의 원칙 및 비례의 원칙에 위배되어 무효인지 여부(적극)  ," [1] 국민건강보험법 제42조 제7항 및 같은법시행령 제24조 제2항에 따라 제정된 보건복지부고시 ‘건강보험요양급여행위및그상대가치점수(2002. 11. 15. 보건복지부고시 제2002-78호)’는 비록 그 제정형식은 행정규칙이라 하더라도 상위법령과 결합하여 법령을 시행하는 데 필요한 구체적 사항을 정한 것으로써 대외적인 구속력을 갖는 법규명령으로서의 효력을 가진다고 할 것이고, 위 고시에 근거한 요양급여비용 심사청구에 대한 반려처분의 취소를 구하면서 그 근거로서 위 고시가 무효임을 주장할 수 있으므로 위 고시 자체의 취소를 구하는 행정소송을 제기할 수 없다고 한 사례.     [2] 국민건강보험법령에 따라 제정된 보건복지부고시 ‘건강보험요양급여행위및그상대가치점수(2002. 11. 15. 보건복지부고시 제2",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=69921&type=HTML&mobileYn=,부분,기타,보건복지부 고시 '건강보험요양급여행위및그상대가치점수'(2002-78호) 중 사회복지법인 부설 요양기관에 방문당 정액수가제를 적용하는 부분,,고시 전체의 법규명령 효력은 인정하되 해당 부분이 평등원칙·비례원칙 위배로 무효(적극). 위임 결함이 아닌 내용의 헌법원칙 위반. 하급심(서울행정법원). 구 고시 — 현행 부존재.,무효선언,행정규칙(고시),폐지·실효
33,B,8,prec,204283,2016도14781,2018.11.29,대법원,계엄법위반,대외적 구속력,"효력이?\s*(없|인정),무효"," [1] 1979. 10. 18.자 비상계엄 선포에 따른 계엄포고 제1호가 형벌에 관한 법령의 일부인지 여부(적극) / 재심이 개시된 사건에서 재심판결 당시 폐지된 형벌 관련 법령이 당초부터 위헌·무효인 경우, 그 법령을 적용하여 공소가 제기된 피고사건에 대하여 법원이 취하여야 할 조치(=무죄의 선고)  [2] 1979. 10. 18.자 비상계엄 선포에 따른 계엄포고 제1호의 위헌·위법 여부에 대한 최종적 심사기관(=대법원)  [3] 1979. 10. 18.자 비상계엄 선포에 따른 계엄포고 제1호가 해제 또는 실효되기 이전부터 이미 유신헌법, 구 계엄법에 위배되어 위헌·위법한 것으로서 무효인지 여부(적극) "," [1] 1979. 10. 18. 부산지역에 비상계엄이 선포되었고, 계엄사령관은 같은 날 구 계엄법(1981. 4. 17. 법률 제3442호로 전부 개정되기 전의 것, 이하 ‘구 계엄법’이라 한다) 제13조에서 정한 계엄사령관의 조치로서 유언비어 날조·유포와 국론분열 언동은 엄금한다는 내용이 포함된 계엄포고 제1호를 발령하였다.    계엄포고 제1호는 구 대한민국헌법(1980. 10. 27. 헌법 제9호로 전부 개정되기 전의 것, 유신헌법) 제54조 제3항, 구 계엄법 제13조에서 정한 ‘특별한 조치’로서 이루어졌다. 이는 벌칙조항인 구 계엄법 제15조에서 정한 ‘제13조의 규정에 의하여 취한 계엄사령관의 조치’에 해당하여 형벌에 관한 법령의 일부가 된다.    형벌에 관한 법령이 헌법재판소의 위헌결정으로 ",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=204283&type=HTML&mobileYn=,무관,,,,계엄포고 제1호의 위헌·위법 무효(재심 무죄) — 국가긴급권 행사 요건 흠결·기본권 침해 사안으로 행정규칙·시행령 위임 결함 계열이 아님. '무효' 키워드 매칭 노이즈.,,,
34,B,8,prec,193659,2007두4841,2008.04.10,대법원,건축불허가처분취소,대외적 구속력,위임의?\s*한계,"[1] 법령이 특정 행정기관에 법령 내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 권한 행사의 절차나 방법을 특정하고 있지 않아 수임행정기관이 행정규칙의 형식으로 법령의 내용이 될 사항을 정한 경우 그 효력 [2] 산지관리법 제18조 제1항, 제4항, 같은 법 시행령 제20조 제4항에 따라 산림청장이 정한 ‘산지전용허가기준의 세부검토기준에 관한 규정’ 제2조 [별표 3] (바)목 가.의 규정이 법규명령으로서 효력을 가진다고 한 사례  [3] 하위규범이 법령상 용어의 사용기준을 정하고 있는 경우 법령의 위임 한계를 벗어난 것인지 여부(한정소극) 및 행정규칙에서 사용하는 개념이 달리 해석할 여지가 있다 하여 법령의 위임 한계를 벗어났다고 할 수 있는지 여부(한정소극) ","[1] 법령의 규정이 특정 행정기관에 그 법령 내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 그 권한 행사의 절차나 방법을 특정하고 있지 않아 수임행정기관이 행정규칙인 고시의 형식으로 그 법령의 내용이 될 사항을 구체적으로 정하고 있는 경우, 그 고시가 당해 법령의 위임 한계를 벗어나지 않는 한, 그와 결합하여 대외적으로 구속력이 있는 법규명령으로서 효력을 가진다. [2] 산지관리법 제18조 제1항, 제4항, 같은 법 시행령 제20조 제4항에 따라 산림청장이 정한 ‘산지전용허가기준의 세부검토기준에 관한 규정’(2003. 11. 20. 산림청 고시 제2003-71호) 제2조 [별표 3] (바)목 가.의 규정은 법령의 내용이 될 사항을 구체적으로 정한 것으로서 당해 법령의 위임 한계를 벗어나지 않으므로,",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=193659&type=HTML&mobileYn=,N,,,,산림청 고시 '산지전용허가기준의 세부검토기준에 관한 규정'(제2003-71호) [별표 3]: 위임 한계 내로 법규명령 효력 인정(유효).,,,
35,B,8,prec,85617,2006두3742,2008.03.27,대법원,목욕장영업신고서처리불가처분취소·영업소폐쇄명령처분취소,대외적 구속력,위임의?\s*한계,"[1] 법령의 규정이 특정 행정기관에 그 법령 내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 권한 행사의 절차나 방법을 특정하고 있지 않아 수임행정기관이 행정규칙의 형식으로 법령의 내용이 될 사항을 구체적으로 정한 경우 그 효력 [2] 구 택지개발촉진법 제3조 제4항, 제31조, 같은 법 시행령 제7조 제1항 및 제5항에 따라 건설교통부장관이 정한 ‘택지개발업무처리지침’ 제11조가 법규명령으로서의 효력을 갖는지 여부(적극) [3] 이미 고시된 실시계획에 포함된 상세계획으로 관리되는 토지 위의 건물의 용도를 상세계획 승인권자의 변경승인 없이 임의로 판매시설에서 상세계획에 반하는 일반목욕장으로 변경한 사안에서, 그 영업신고를 수리하지 않고 영업소를 폐쇄한 처분은 적법하다고 한 사례 ","[1] 상급행정기관이 하급행정기관에 대하여 업무처리지침이나 법령의 해석적용에 관한 기준을 정하여 발하는 이른바 행정규칙은 일반적으로 행정조직 내부에서만 효력을 가질 뿐 대외적인 구속력을 갖지 않지만, 법령의 규정이 특정 행정기관에게 그 법령 내용의 구체적 사항을 정할 수 있는 권한을 부여하면서 그 권한 행사의 절차나 방법을 특정하고 있지 않아 수임행정기관이 행정규칙의 형식으로 그 법령의 내용이 될 사항을 구체적으로 정하고 있다면, 그와 같은 행정규칙은 위에서 본 행정규칙이 갖는 일반적 효력으로서가 아니라 행정기관에 법령의 구체적 내용을 보충할 권한을 부여한 법령 규정의 효력에 의하여 그 내용을 보충하는 기능을 갖게 되고, 따라서 이와 같은 행정규칙은 당해 법령의 위임 한계를 벗어나지 않는 한 그것들과 결합하",/DRF/lawService.do?OC=YOUR_OC&target=prec&ID=85617&type=HTML&mobileYn=,N,,,,건설교통부 '택지개발업무처리지침' 제11조: 법령보충적 행정규칙으로 법규명령 효력 인정(유효).,,,
