id,층,인간L1,조각판정,전문판정,조각
P06803,조각·패널비위임,,위임,위임,권한은 대통령령으로
P00086,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P06858,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00135,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06226,조각·패널비위임,,판단불가,위임,사항은 교육부령으로
P04136,조각·패널비위임,,판단불가,위임,대통령령
P02043,조각·패널비위임,,위임,위임,교육부령으로 정하는
P07134,조각·패널비위임,,위임,위임,대통령령으로 정하는
P00795,조각·패널비위임,,위임,위임,대통령령으로 정하는
P07034,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06795,조각·패널비위임,,위임,위임,하려면 대통령령으로
P00351,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04491,조각·패널비위임,,판단불가,위임,사항은 교육부령으로
P01512,조각·패널비위임,,판단불가,위임,대통령령
P05668,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P06704,조각·패널비위임,,위임,위임,사항은 교육부령으로
P03128,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06186,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07041,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06847,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06206,조각·패널비위임,,판단불가,위임,자는 대통령령으로
P00467,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P00063,조각·패널비위임,,판단불가,위임,대통령령과 학칙으로
P03082,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04367,조각·패널비위임,,위임,위임,2. 제2항에 따른 지역다문화교육지원센터의 경우: 해당 시ㆍ도의 조례
P00293,조각·패널비위임,,인용,위임,교육부장관이 따로 정하여 고시하는 교과목의 경우에는 인정을 신청할 때
P07266,조각·패널비위임,,위임,위임,포함하여 대통령령으로
P06797,조각·패널비위임,,판단불가,위임,할 사항은 대통령령으로
P03070,조각·패널비위임,,위임,위임,보건복지부령으로 정하는 사항이
P01730,조각·패널비위임,,위임,위임,대통령령으로 정하는
P06227,조각·패널비위임,,위임,위임,사항은 교육부령으로
P02109,조각·패널비위임,,위임,위임,교육부령
P01552,조각·패널비위임,,판단불가,위임,아니한 경우에는 대통령령으로
P07231,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P01724,조각·패널비위임,,위임,위임,대통령령으로 정하는
P07534,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P06178,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P00420,조각·패널비위임,,판단불가,위임,자격증에 교육부령이
P01373,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P01771,조각·패널비위임,,위임,위임,대통령령으로 정하는
P04069,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07501,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P03325,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04274,조각·패널비위임,,위임,위임,사항은 교육부령으로
P00549,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07165,조각·패널비위임,,판단불가,위임,이내에 대통령령으로
P00475,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P04913,조각·패널비위임,,위임,위임,사항은 교육부령으로
P07067,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07013,조각·패널비위임,,판단불가,위임,"사항은 대통령령으로, 학교체육진흥지역위원회의"
P01333,조각·패널비위임,,위임,위임,교육부령으로 정하는
P01742,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P00374,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07513,조각·패널비위임,,위임,위임,대통령령으로 정하는
P01797,조각·패널비위임,,판단불가,위임,그 밖에 설립인가와 관련하여 교육부장관이 필요하다고 인정하는 서류
P04548,조각·패널비위임,,위임,위임,사항은 교육부령으로
P04542,조각·패널비위임,,위임,위임,사항은 교육부령으로
P04140,조각·패널비위임,,판단불가,위임,대통령령
P06352,조각·패널비위임,,위임,위임,대통령령으로 정하는
P06224,조각·패널비위임,,위임,위임,사항은 교육부령으로
P04201,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P04741,조각·패널비위임,,위임,위임,사항은 교육부령으로
P01721,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00901,조각·패널비위임,,위임,인용,대통령령으로 정하는
P07065,조각·패널비위임,,판단불가,위임,대통령령으로 정하는 특별한
P00115,조각·패널비위임,,위임,위임,못하는 경우 등 대통령령으로
P03522,조각·패널비위임,,판단불가,위임,대통령령
P03130,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00791,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P01638,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P04446,조각·패널비위임,,위임,위임,"2. 그 밖에 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 미리 학부모의 의견을 수렴하"
P07556,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04384,조각·패널비위임,,위임,위임,교육부령으로 정하는
P02868,조각·패널비위임,,위임,위임,그 밖에 교육부장관 및 교육감이 유아교육에 필요하다고 인정하는 비용
P00911,조각·패널비위임,,위임,위임,교육부령으로 정하는 평가 기준 이상이
P02111,조각·패널비위임,,위임,위임,교육부령으로 정하는
P01592,조각·패널비위임,,판단불가,위임,작성하여 대통령령으로
P02516,조각·패널비위임,,인용,위임,8. 그 밖에 법령이나 시ㆍ도의 조례에서 운영위원회의 심의를 거치도록 한 사항
P00481,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P04434,조각·패널비위임,,위임,판단불가,"2. 그 밖에 국립학교의 경우에는 학칙으로, 공립학교의 경우에는 시·도의 조례로 미리 학부모의 의견을 수렴하"
P06655,조각·패널비위임,,위임,위임,교육부령이 정하는
P04911,조각·패널비위임,,판단불가,위임,사항은 교육부령으로
P04067,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04487,조각·패널비위임,,판단불가,위임,사항은 교육부령으로
P06405,조각·패널비위임,,위임,위임,대통령령으로 정하는 바에
P07033,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00130,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00794,조각·패널비위임,,위임,위임,대통령령으로 정하는
P06144,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06145,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07233,조각·패널비위임,,위임,위임,대통령령으로 정하는 바에
P01541,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00471,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P01720,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07504,조각·패널비위임,,위임,위임,사항은 대통령령으로
P04268,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06225,조각·패널비위임,,위임,위임,사항은 교육부령으로
P07159,조각·패널비위임,,위임,위임,대통령령으로 정하는
P01508,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P07052,조각·패널비위임,,판단불가,위임,대통령령
P04288,조각·패널비위임,,위임,위임,대통령령으로 정하는
P06287,조각·패널비위임,,판단불가,위임,사항은 교육부령으로
P01511,조각·패널비위임,,판단불가,위임,대통령령
P04269,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07069,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P00466,조각·패널비위임,,인용,위임,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하
P00704,조각·패널비위임,,판단불가,위임,대통령령으로 정하는 중요한
P04330,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P00903,조각·패널비위임,,인용,인용,"업소와 같은 호 가목8), 가목9) 및 나목7)에 따라 성평등가족부장관이 고시한 영업에 해당하는 업소"
P06192,조각·패널비위임,,위임,위임,경우에는 대통령령으로
P06806,조각·패널비위임,,위임,위임,교육부령이 정하는
P07497,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P06231,조각·패널비위임,,판단불가,위임,대통령령으로 정하는
P07236,조각·패널비위임,,판단불가,위임,교육부령으로 정하는
P05124,조각·패널비위임,,위임,위임,교육부령으로 정하는
P03010,조각·패널비위임,,판단불가,위임,공인자격관리자가 대통령령으로
P00592,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P06150,조각·패널비위임,,위임,위임,사항은 대통령령으로
P05041,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P07308,조각·패널비위임,,위임,위임,교육부령으로 정하는 봉사활동에
P01722,조각·패널비위임,,위임,위임,사항은 대통령령으로
P06181,조각·패널비위임,,위임,위임,사항은 대통령령으로
P00904,조각·패널비위임,,인용,인용,국가데이터처장이 고시하는 한국표준산업분류에 따른 제조업 중 레미콘 제조업
P00853,조각·패널비위임,,위임,위임,대통령령으로 정하는
P06799,조각·패널비위임,,판단불가,위임,대통령령
P06152,조각·패널비위임,,위임,위임,사항은 대통령령으로
P07436,조각·패널비위임,,판단불가,위임,과태료는 대통령령으로
P07484,조각·패널비위임,,판단불가,위임,사항은 대통령령으로
P07486,조각·패널비위임,,판단불가,위임,재단은 대통령령으로
P06645,조각·패널비위임,,판단불가,위임,사항은 교육부령으로
P07053,조각·패널비위임,,판단불가,위임,대통령령
P03327,조각·패널비위임,,판단불가,위임,대통령령으로 정한
