id,gold_id,층,인간L1,조각,전문
P04242,,조각·패널비위임,,사항은 대통령령으로,"① 중학교에 입학할 수 있는 사람은 초등학교를 졸업한 사람, 제27조의2제1항에 따라 초등학교를 졸업한 사람과 동등한 학력이 인정되는 시험에 합격한 사람, 그 밖에 법령에 따라 이와 같은 수준 이상의 학력이 있다고 인정된 사람으로 한다. <개정 2021.3.23>
② 그 밖에 중학교의 입학 방법과 절차 등에 필요한 사항은 대통령령으로 정한다.
제43조(입학자격 등)"
P04070,,조각·패널비위임,,대하여는 대통령령으로,"① 질병ㆍ발육 상태 등 부득이한 사유로 취학이 불가능한 의무교육대상자에 대하여는 대통령령으로 정하는 바에 따라 제13조에 따른 취학 의무를 면제하거나 유예할 수 있다.
② 제1항에 따라 취학 의무를 면제받거나 유예받은 사람이 다시 취학하려면 대통령령으로 정하는 바에 따라 학습능력을 평가한 후 학년을 정하여 취학하게 할 수 있다.
제14조(취학 의무의 면제 등)"
P00479,,조각·패널비위임,,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하는 특수직급의 신규임용시험 또는 전직시험에 응시하여 임용된 사람의 해당 자격증,"① 임용권자는 5급 이하 공무원ㆍ연구사 및 지도사가 다음 각 호의 어느 하나에 해당하는 자격증 또는 검정시험 합격확인서 등(이하 ""자격증등""이라 한다)을 소지한 경우에는 영 제32조제2항 및 연구ㆍ지도직규정 제14조제2항에 따라 가산점을 줄 수 있다. <개정 2022.9.1>
1. 「자격기본법」 제12조에 따른 국가자격증 및 같은 법 제23조에 따른 공인자격증 중 임용권자가 직무수행과 밀접한 관련이 있다고 인정하여 지정하는 자격증
2. 외국에서 취득한 자격증 중 임용권자가 제1호에 따른 자격증과 동일하거나 동등하다고 인정하는 자격증
3. 그 밖에 임용권자가 직무수행과 밀접한 관련이 있다고 인정하여 지정하는 자격증 또는 검증시험 합격확인서 등
② 삭제 <2022.9.1>
③ 제1항에도 불구하고 다음 각 호의 어느 하나에 해당하는 자격증등(제1호, 제2호 및 제5호의 경우에는 해당 자격증 종목의 하위 등급 자격증을 포함한다)을 소지한 경우에는 가산점을 줄 수 없다. <개정 2022.9.1>
1. 「지방공무원법」 제27조제2항제2호에 따른 자격증 소지자로서 영 제55조제1항제1호에 따라 경력경쟁임용시험의 필기시험을 실시하지 아니하고 임용된 사람의 해당 자격증
2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하는 특수직급의 신규임용시험 또는 전직시험에 응시하여 임용된 사람의 해당 자격증
3. 공무원으로 재직함으로써 시험과목의 전부를 면제받거나 자동적으로 취득한 자격증
4. 유효기간이 지난 자격증등
5. 승진임용 시 이미 가산점이 반영된 자격증등
④ 가산점을 줄 수 있는 자격증등이 둘 이상인 경우에는 그 중 가산점이 높은 하나에 대해서만 가산점을 줄 수 있다.
⑤ 삭제 <2022.9.1>
⑥ 삭제 <2022.9.1>
제23조(자격증 등의 가산점)"
P00595,,조각·패널비위임,,사항은 대통령령으로,"① 교육공무원으로 20년 이상 근속한 사람이 정년 전에 스스로 퇴직하는 경우에는 예산의 범위에서 명예퇴직수당을 지급할 수 있다.
② 제1항에 따른 교육공무원 중 교장ㆍ원장이 임기가 끝나기 전에 스스로 퇴직하는 경우 그 정년은 제47조에 따른 연령으로 본다. <개정 2012.3.21>
③ 제1항의 명예퇴직수당의 지급대상 범위, 지급액 및 지급절차와 그 밖에 필요한 사항은 대통령령으로 정한다.
제36조(명예퇴직)"
P04094,,조각·패널비위임,,사항은 대통령령으로,"① 교육과정을 운영하기 위하여 필요하면 학교에 제19조제1항에 따른 교원 외에 산학겸임교사ㆍ명예교사 또는 강사 등을 두어 학생의 교육을 담당하게 할 수 있다. 이 경우 국립ㆍ공립 학교는 「교육공무원법」 제10조의3제1항 및 제10조의4를, 사립학교는 「사립학교법」 제54조의3제4항 및 제5항을 각각 준용한다
② 제1항에 따라 학교에 두는 산학겸임교사 등의 종류ㆍ자격기준 및 임용 등에 필요한 사항은 대통령령으로 정한다.
제22조(산학겸임교사 등)"
P00473,,조각·패널비위임,,2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하는 특수직급의 신규임용시험 또는 전직시험에 응시하여 임용된 사람의 해당 자격증,"① 임용권자는 5급 이하 공무원ㆍ연구사 및 지도사가 다음 각 호의 어느 하나에 해당하는 자격증 또는 검정시험 합격확인서 등(이하 ""자격증등""이라 한다)을 소지한 경우에는 영 제32조제2항 및 연구ㆍ지도직규정 제14조제2항에 따라 가산점을 줄 수 있다. <개정 2022.9.1>
1. 「자격기본법」 제12조에 따른 국가자격증 및 같은 법 제23조에 따른 공인자격증 중 임용권자가 직무수행과 밀접한 관련이 있다고 인정하여 지정하는 자격증
2. 외국에서 취득한 자격증 중 임용권자가 제1호에 따른 자격증과 동일하거나 동등하다고 인정하는 자격증
3. 그 밖에 임용권자가 직무수행과 밀접한 관련이 있다고 인정하여 지정하는 자격증 또는 검증시험 합격확인서 등
② 삭제 <2022.9.1>
③ 제1항에도 불구하고 다음 각 호의 어느 하나에 해당하는 자격증등(제1호, 제2호 및 제5호의 경우에는 해당 자격증 종목의 하위 등급 자격증을 포함한다)을 소지한 경우에는 가산점을 줄 수 없다. <개정 2022.9.1>
1. 「지방공무원법」 제27조제2항제2호에 따른 자격증 소지자로서 영 제55조제1항제1호에 따라 경력경쟁임용시험의 필기시험을 실시하지 아니하고 임용된 사람의 해당 자격증
2. 영 제17조제1항제3호 후단에 따른 지방자치단체의 인사규칙에서 정하는 바에 따라 자격증 소지를 의무화하는 특수직급의 신규임용시험 또는 전직시험에 응시하여 임용된 사람의 해당 자격증
3. 공무원으로 재직함으로써 시험과목의 전부를 면제받거나 자동적으로 취득한 자격증
4. 유효기간이 지난 자격증등
5. 승진임용 시 이미 가산점이 반영된 자격증등
④ 가산점을 줄 수 있는 자격증등이 둘 이상인 경우에는 그 중 가산점이 높은 하나에 대해서만 가산점을 줄 수 있다.
⑤ 삭제 <2022.9.1>
⑥ 삭제 <2022.9.1>
제23조(자격증 등의 가산점)"
P04247,,조각·패널비위임,,사항은 대통령령으로,"① 중학교에 입학할 수 있는 사람은 초등학교를 졸업한 사람, 제27조의2제1항에 따라 초등학교를 졸업한 사람과 동등한 학력이 인정되는 시험에 합격한 사람, 그 밖에 법령에 따라 이와 같은 수준 이상의 학력이 있다고 인정된 사람으로 한다. <개정 2021.3.23>
② 그 밖에 중학교의 입학 방법과 절차 등에 필요한 사항은 대통령령으로 정한다.
제43조(입학자격 등)"
P03326,,조각·패널비위임,,대통령령으로 정한,"①교육감 소속하에 국가공무원으로 보하는 부교육감 1인(인구 800만명 이상이고 학생 150만명 이상인 시ㆍ도는 2인)을 두되, 대통령령으로 정하는 바에 따라 「국가공무원법」 제2조의2의 규정에 따른 고위공무원단에 속하는 일반직공무원 또는 장학관으로 보한다. <개정 2020.12.22, 2021.3.23>
②부교육감은 해당 시ㆍ도의 교육감이 추천한 사람을 교육부장관의 제청으로 국무총리를 거쳐 대통령이 임명한다. <개정 2008.2.29, 2013.3.23, 2021.3.23>
③부교육감은 교육감을 보좌하여 사무를 처리한다.
④제1항의 규정에 따라 부교육감 2인을 두는 경우에 그 사무 분장에 관한 사항은 대통령령으로 정한다. 이 경우 그중 1인으로 하여금 특정 지역의 사무를 담당하게 할 수 있다.
⑤교육감 소속하에 보조기관을 두되, 그 설치ㆍ운영 등에 관하여 필요한 사항은 대통령령으로 정한 범위 안에서 조례로 정한다. <개정 2021.3.23>
⑥교육감은 제5항의 규정에 따른 보조기관의 설치ㆍ운영에 있어서 합리화를 도모하고 다른 시ㆍ도와의 균형을 유지하여야 한다.
제30조(보조기관)"
P06200,,조각·패널비위임,,필요한 사항은 대통령령으로,"① 누구든지 정보통신매체를 이용하여 특정 또는 불특정 다수인에게 원격교육을 실시하거나 다양한 정보를 제공하는 등의 평생교육을 실시할 수 있다.
② 제1항에 따라 불특정 다수인을 대상으로 학습비를 받고 교육을 실시하고자 하는 경우(「학원의 설립ㆍ운영 및 과외교습에 관한 법률」 제2조의2제1항제1호의 학교교과교습학원에 해당하는 경우는 제외한다)에는 대통령령으로 정하는 바에 따라 교육감에게 신고하여야 한다. 이를 폐쇄하고자 하는 경우에는 그 사실을 교육감에게 통보하여야 한다. <개정 2008.2.29, 2011.7.25, 2013.3.23, 2013.12.30>
③ 제1항에 따라 전문대학 또는 대학졸업자와 동등한 학력ㆍ학위가 인정되는 원격대학형태의 평생교육시설을 설치하고자 하는 경우에는 대통령령으로 정하는 바에 따라 교육부장관의 인가를 받아야 한다. 이를 폐쇄하고자 하는 경우에는 교육부장관에게 신고하여야 한다. <개정 2008.2.29, 2013.3.23>
④ 교육부장관은 제3항에 따라 인가한 원격대학형태의 평생교육시설에 대하여는 평가를 실시하고 그 결과를 공개하여야 한다. <개정 2008.2.29, 2013.3.23>
⑤ 제3항에 따른 원격대학형태의 평생교육시설의 설치기준, 학사관리 등 운영방법과 제4항에 따른 평가에 필요한 사항은 대통령령으로 정한다.
⑥ 제28조제2항 각 호의 어느 하나에 해당하는 자는 원격대학형태의 평생교육시설의 설치자가 될 수 없다.
제33조(원격대학형태의 평생교육시설)"
P01772,,조각·패널비위임,,대통령령으로 정하는,"① 산학협력단 및 제2조제2호다목에 해당하는 산업교육기관 중 대통령령으로 정하는 산업교육기관(이하 ""산학협력단등""이라 한다)은 단독으로 또는 다음 각 호의 어느 하나에 해당하는 기관과 공동으로 기술지주회사를 설립할 수 있다. <개정 2011.7.25, 2013.12.30>
1. 다른 대학의 산학협력단
2. 학교법인(그 학교에 산학협력단이 없는 경우만 해당한다)
3. 연구기관
② 기술지주회사는 다음 각 호의 요건을 갖추어 교육부장관의 설립인가를 받아야 한다. 설립인가에 필요한 절차에 관하여는 교육부령으로 정한다. <개정 2008.2.29, 2011.7.25, 2013.3.23, 2013.12.30, 2024.12.20>
1. 주식회사일 것
2. 임원이 「국가공무원법」 제33조제1항 각 호에 따른 결격사유에 해당하지 아니할 것
3. 산학협력단등(제1항 각 호의 기관과 공동으로 기술지주회사를 설립하는 경우에는 제1항 각 호의 기관을 포함한다. 이하 같다)이 자본금의 100분의 30을 초과하여 기술을 현물출자할 것
4. 산학협력단등이 발행 주식 총수의 100분의 50을 초과하여 보유할 것
5. 그 밖에 대통령령으로 정하는 기준을 갖출 것
③ 산학협력단등이 기술지주회사에 기술을 현물출자하는 경우에 「기술의 이전 및 사업화 촉진에 관한 법률」 제35조제1항에 따라 지정된 기술평가기관이 그 가치를 평가하여 법원에 보고한 경우에는 이로써 「상법」 제299조, 제299조의2 및 제310조에 따른 조사ㆍ보고 또는 감정을 갈음할 수 있다. <개정 2013.12.30>
④ 기술지주회사는 자회사의 설립ㆍ경영관리 및 이에 딸린 업무와 기술지주회사 운영을 위한 업무로서 대통령령으로 정하는 업무를 할 수 있다. <개정 2011.7.25>
⑤ 국가 또는 지방자치단체는 기술지주회사 등의 설립ㆍ운영에 필요한 비용의 전부 또는 일부를 예산의 범위에서 지원할 수 있다. <신설 2011.7.25>
⑥ 제2항에 따른 설립인가를 받은 기술지주회사는 기술지주회사의 분할ㆍ합병 등으로 출자내역 및 비율 등 대통령령으로 정한 인가받은 사항을 변경하려는 경우 교육부령으로 정하는 바에 따라 교육부장관의 변경인가를 받아야 한다. <신설 2024.12.20>
제36조의2(기술지주회사의 설립ㆍ운영)"
P02107,,조각·패널비위임,,교육부령,"① 국가나 지방자치단체, 사회복지법인, 그 밖의 비영리법인이 설치한 어린이집과 대통령령으로 정하는 어린이집의 원장은 다음 각 호의 어느 하나에 해당하는 자가 우선적으로 어린이집을 이용할 수 있도록 하여야 한다. 다만, 「고용정책 기본법」 제40조제2항에 따라 고용촉진시설의 설치ㆍ운영을 위탁받은 공공단체 또는 비영리법인이 설치ㆍ운영하는 어린이집의 원장은 근로자의 자녀가 우선적으로 어린이집을 이용하게 할 수 있다. <개정 2007.10.17, 2008.2.29, 2009.10.9, 2010.1.18, 2011.6.7, 2013.8.13, 2016.2.3, 2017.3.14, 2017.12.19, 2018.12.11, 2023.8.8, 2023.12.26>
1. 「국민기초생활 보장법」에 따른 수급자
2. 「한부모가족지원법」 제5조에 따른 지원대상자의 자녀
2의2. 「한부모가족지원법」 제5조의2제2항에 따른 지원대상자의 손자녀
3. 「국민기초생활 보장법」 제24조에 따른 차상위계층의 자녀
4. 「장애인복지법」 제2조에 따른 장애인 중 교육부령으로 정하는 장애 정도에 해당하는 자의 자녀
4의2. 「장애인복지법」 제2조에 따른 장애인 중 교육부령으로 정하는 장애 정도에 해당하는 자가 형제자매인 영유아
5. 「다문화가족지원법」 제2조제1호에 따른 다문화가족의 자녀
6. 「국가유공자 등 예우 및 지원에 관한 법률」 제4조제1항에 따른 국가유공자 중 제3호의 전몰군경, 제4호ㆍ제6호ㆍ제12호ㆍ제15호ㆍ제17호의 상이자로서 교육부령으로 정하는 자, 제5호ㆍ제14호ㆍ제16호의 순직자의 자녀
7. 제1형 당뇨를 가진 경우로서 의학적 조치가 용이하고 일상생활이 가능하여 보육에 지장이 없는 영유아
8. 그 밖에 소득수준 및 보육수요 등을 고려하여 교육부령으로 정하는 자의 자녀
② 사업주는 사업장 근로자의 자녀가 우선적으로 직장어린이집을 이용할 수 있도록 하여야 한다. <개정 2011.6.7>
③ 제1항에 따른 보육의 우선제공 대상에 대한 적용 방법ㆍ기준 등에 필요한 사항은 교육부령으로 정한다. <신설 2017.3.14, 2023.12.26>
제28조(보육의 우선 제공)"
P07369,,조각·패널비위임,,교육부령으로 정하는 서류를,"① 법 제14조의2제1항에 따라 개인과외교습을 하려는 사람은 교육부령으로 정하는 개인과외교습자신고서에 다음 각 호의 사항을 적고, 교육부령으로 정하는 서류를 첨부하여 교육감에게 제출하여야 한다. <개정 2013.3.23>
1. 개인과외교습자의 성명, 주민등록번호, 주소, 학력, 전공, 자격 및 경력
2. 교습과목
3. 교습비등
4. 교습장소
② 개인과외교습자는 제1항제1호부터 제4호까지의 사항 중 어느 하나의 사항이 변경된 경우에는 그 사유가 발생한 날부터 15일 이내에 교육부령으로 정하는 변경신고서를 교육감에게 제출하여야 한다. <개정 2013.3.23>
제16조의2(개인과외교습자의 신고 등)"
P04093,,조각·패널비위임,,사항은 대통령령으로,"① 교육과정을 운영하기 위하여 필요하면 학교에 제19조제1항에 따른 교원 외에 산학겸임교사ㆍ명예교사 또는 강사 등을 두어 학생의 교육을 담당하게 할 수 있다. 이 경우 국립ㆍ공립 학교는 「교육공무원법」 제10조의3제1항 및 제10조의4를, 사립학교는 「사립학교법」 제54조의3제4항 및 제5항을 각각 준용한다
② 제1항에 따라 학교에 두는 산학겸임교사 등의 종류ㆍ자격기준 및 임용 등에 필요한 사항은 대통령령으로 정한다.
제22조(산학겸임교사 등)"
P01520,,조각·패널비위임,,대통령령,"① 이 법에서 사용하는 용어의 뜻은 다음과 같다. <개정 2016.5.29, 2018.3.20, 2018.4.17, 2021.3.23>
1. ""교직원""이란 「사립학교법」 제54조에 따라 그 임명에 관한 사항이 관할청에 보고된 교원과, 「사립학교법」 제70조의2에 따라 임명된 사무직원을 말한다. 다만, 임시로 임명된 사람, 조건부로 임명된 사람 및 보수를 받지 아니하는 사람은 제외한다.
2. ""유족""이란 교직원이거나 교직원이었던 사람이 사망할 당시 그가 부양하고 있던 다음 각 목의 어느 하나에 해당하는 사람을 말한다.
가. 배우자(재직 당시에 혼인관계에 있던 사람으로 한정하며, 사실상 혼인관계에 있던 사람을 포함한다)
나. 자녀(퇴직일 이후에 출생하거나 입양한 자녀는 제외하되 퇴직 당시의 태아는 재직 중 출생한 자녀로 본다. 이하 같다)
다. 부모(퇴직일 이후에 입양된 경우의 부모는 제외한다)
라. 손자녀(孫子女)(퇴직일 이후에 출생하거나 입양한 손자녀는 제외하되 퇴직 당시의 태아는 재직 중 출생한 손자녀로 본다. 이하 같다)
마. 조부모(퇴직일 이후에 입양된 경우의 조부모는 제외한다)
3. ""퇴직""이란 면직(免職), 사직(辭職), 그 밖의 사망 외의 모든 해직(解職)을 말한다. 다만, 교직원의 신분이 소멸된 날 또는 그 다음 날에 다시 교직원으로 임명되고 이 법에 따른 퇴직급여 및 퇴직수당을 받지 아니한 경우는 예외로 한다.
4. ""기준소득월액""이란 부담금 및 급여 산정의 기준이 되는 것으로서 일정기간 재직하고 얻은 소득에서 비과세소득을 제외한 금액의 연지급합계액을 12개월로 평균한 금액을 말한다. 이 경우 소득 및 비과세소득의 범위, 기준소득월액의 결정방법 및 적용기간 등에 관한 사항은 대통령령으로 정한다.
5. ""평균기준소득월액""이란 재직기간(제31조제3항 및 제4항에 따라 재직기간에서 제외되는 기간이 있는 경우에는 해당 기간을 재직기간에 포함한다. 이하 이 조에서 같다) 중 매년 기준소득월액을 공무원보수인상률 등을 고려하여 대통령령으로 정하는 바에 따라 급여의 사유가 발생한 날(퇴직으로 급여의 사유가 발생하거나 퇴직 후에 급여의 사유가 발생한 경우에는 퇴직한 날의 전날을 말한다. 이하 같다)의 현재가치로 환산한 후 합한 금액을 재직기간으로 나눈 금액을 말한다. 다만, 제42조제1항에 따라 준용되는 「공무원연금법」 제43조제1항 및 제2항에 따른 퇴직연금ㆍ조기퇴직연금 및 같은 법 제54조제1항에 따른 퇴직유족연금(교직원이었던 사람이 퇴직연금이나 조기퇴직연금을 받다가 사망하여 그 유족이 퇴직유족연금을 받게 되는 경우는 제외한다) 산정의 기초가 되는 평균기준소득월액은 급여의 사유가 발생한 당시의 평균기준소득월액을 공무원보수인상률 등을 고려하여 대통령령으로 정하는 바에 따라 연금 지급이 시작되는 시점의 현재가치로 환산한 금액을 말한다.
6. ""학교경영기관""이란 제3조에 규정된 사립학교를 설치ㆍ경영하는 학교법인 또는 사립학교 경영자를 말한다.
7. ""부담금""이란 국가부담금ㆍ개인부담금ㆍ법인부담금 및 재해보상부담금을 합한 금액을 말한다.
8. ""개인부담금""이란 급여에 드는 비용으로 교직원이 부담하는 금액을 말한다.
9. ""국가부담금""이란 급여에 드는 비용으로 국가가 부담하는 금액을 말한다.
10. ""법인부담금""이란 급여에 드는 비용으로 학교경영기관이 부담하는 금액을 말한다.
11. ""재해보상부담금""이란 제42조제1항에 따라 준용되는 「공무원 재해보상법」 제8조에 따른 급여 중 제48조의2제3항에 따라 재해보상급여 준비금에서 지급되는 급여에 드는 비용에 충당하기 위하여 학교기관이 이 법에 따라 따로 부담하는 금액을 말한다.
② 제1항제2호나목에 따른 자녀는 19세 미만인 사람과 대통령령으로 정하는 정도의 장해(제42조제1항에 따라 준용하는 「공무원 재해보상법」 제3조제1항제7호에 따른 장해를 말한다. 이하 같다) 상태에 있는 19세 이상인 사람으로 한정한다. <개정 2013.4.5, 2018.4.17>
③ 제1항제2호라목에 따른 손자녀는 아버지가 없거나 아버지가 대통령령으로 정하는 정도의 장해 상태에 있는 경우로서 다음 각 호의 어느 하나에 해당되는 사람으로 한정한다. <개정 2013.4.5, 2018.4.17>
1. 19세 미만인 사람
2. 19세 이상인 사람으로서 대통령령으로 정하는 정도의 장해 상태에 있는 사람
④ 제42조제1항에 따라 준용하는 「공무원 재해보상법」 제8조의 재해유족급여에 대해서는 제2항 및 제3항 각 호 중 ""19세""를 각각 ""25세""로 한다. <신설 2025.11.11>
⑤ 교직원인 사람 또는 교직원이었던 사람의 사망 당시의 태아는 이 법에 따른 급여를 지급할 때에는 이미 출생한 것으로 본다. <개정 2025.11.11>
제2조(정의)"
P00235,,조각·패널비위임,,대통령령으로 정하는,"① 학교는 국가교육과정 및 시ㆍ도교육과정에 따라 학교교육과정을 편성하여야 하며, 편성된 학교교육과정을 앞서는 교육과정을 운영하여서는 아니 된다. 방과후학교 과정도 또한 같다.
② 제1항 후단에도 불구하고 방과후학교 과정이 다음 각 호의 어느 하나에 해당하는 경우 편성된 학교교육과정을 앞서는 교육과정을 운영할 수 있다. <개정 2019.3.26, 2020.10.20>
1. 「초ㆍ중등교육법」 제2조에 따른 고등학교에서 「초ㆍ중등교육법」 제24조제4항에 따른 학교의 휴업일 중 편성ㆍ운영되는 경우
2. 「초ㆍ중등교육법」 제2조에 따른 중학교 및 고등학교 중 농산어촌 지역 학교 및 대통령령으로 정하는 절차 및 방법 등에 따라 지정하는 도시 저소득층 밀집 학교 등에서 운영되는 경우
③ 학교에서는 다음 각 호의 행위를 하여서는 아니 된다. <개정 2016.5.29>
1. 지필평가, 수행평가 등 학교 시험에서 학생이 배운 학교교육과정의 범위와 수준을 벗어난 내용을 출제하여 평가하는 행위
2. 각종 교내 대회에서 학생이 배운 학교교육과정의 범위와 수준을 벗어난 내용을 출제하여 평가하는 행위
3. 그 밖에 이에 준하는 것으로서 대통령령으로 정하는 행위
④ 「학원의 설립ㆍ운영 및 과외교습에 관한 법률」 제2조에 따른 학원, 교습소 또는 개인과외교습자는 선행학습을 유발하는 광고 또는 선전을 하여서는 아니 된다. <개정 2016.5.29>
제8조(선행교육 및 선행학습 유발행위 금지 등)"
P04080,,조각·패널비위임,,사항은 대통령령으로,"① 학교에는 다음 각 호의 교원을 둔다. <개정 2019.12.3>
1. 초등학교ㆍ중학교ㆍ고등학교ㆍ고등공민학교ㆍ고등기술학교 및 특수학교에는 교장ㆍ교감ㆍ수석교사 및 교사를 둔다. 다만, 학생 수가 100명 이하인 학교나 학급 수가 5학급 이하인 학교 중 대통령령으로 정하는 규모 이하의 학교에는 교감을 두지 아니할 수 있다.
2. 각종학교에는 제1호에 준하여 필요한 교원을 둔다.
② 학교에는 교원 외에 학교 운영에 필요한 행정직원 등 직원을 둔다.
③ 학교에는 원활한 학교 운영을 위하여 교사 중 교무(校務)를 분담하는 보직교사를 둘 수 있다.
④ 학교에 두는 교원과 직원(이하 ""교직원""이라 한다)의 정원에 필요한 사항은 대통령령으로 정하고, 학교급별 구체적인 배치기준은 제6조에 따른 지도ㆍ감독기관(이하 ""관할청""이라 한다)이 정하며, 교육부장관은 교원의 정원에 관한 사항을 매년 국회에 보고하여야 한다. <개정 2013.3.23>
제19조(교직원의 구분)"
P07417,,조각·패널비위임,,대통령령으로 정하는,"①교육부장관은 제3조제1항에 따라 평가인정을 받은 학습과정을 설치ㆍ운영하는 교육훈련기관이 다음 각 호의 어느 하나에 해당하면 대통령령으로 정하는 바에 따라 평가인정 취소, 학습과정 운영정지, 평가인정 신청 제한 등의 조치를 할 수 있다. 다만, 제1호에 해당하는 경우에는 평가인정을 취소하여야 한다. <개정 2008.2.29, 2008.3.21, 2013.3.23, 2015.3.27>
1. 거짓이나 그 밖의 부정한 방법으로 평가인정을 받은 경우
2. 제3조제3항에 따른 평가인정사항 변경절차에 따르지 아니하고 같은 조 제5항의 평가인정의 기준에 따른 평가인정사항을 변경한 경우
3. 제3조제5항에 따른 평가인정의 기준에 미달하여 학습과정을 운영한 경우
4. 제4조의2제1항에 따른 학습과정 운영규정을 준수하지 아니한 경우
5. 제6조의2제3항에 따른 시정이나 변경 명령을 위반한 경우
② 교육부장관은 제1항제2호부터 제4호까지에 따라 평가인정을 취소하고자 할 경우에는 상당한 기간을 정하여 교육훈련기관의 장에게 시정을 명하여야 한다. 다만, 위반행위가 이미 종료되는 등 성질상 시정할 수 없는 것이 명백한 경우에는 시정명령을 하지 아니하고 취소할 수 있다. <신설 2008.3.21, 2013.3.23, 2015.3.27>
③ 제1항에 따른 학습과정 운영정지 및 평가인정 신청 제한의 기간은 각각 3년 이내의 범위에서 대통령령으로 정한다. <신설 2015.3.27>
제5조(평가인정의 취소 등)"
P02140,,조각·패널비위임,,대통령령으로 정하는,"제36조(비용의 보조 등) 국가나 지방자치단체는 대통령령으로 정하는 바에 따라 제10조에 따른 어린이집의 설치, 보육교직원(대체교사를 포함한다)의 인건비, 초과보육(超過保育)에 드는 비용 등 운영 경비 또는 지방육아종합지원센터의 설치ㆍ운영, 보육교직원의 복지 증진, 취약보육의 실시 등 보육사업에 드는 비용, 제15조의4에 따른 폐쇄회로 텔레비전 설치비의 전부 또는 일부를 보조한다. 이 경우 제52조에 따른 도서ㆍ벽지ㆍ농어촌지역 등과 「인구감소지역 지원 특별법」 제2조제1호에 따른 인구감소지역에 있는 어린이집에 대하여는 운영 경비 및 보육사업에 드는 비용 등을 추가로 보조할 수 있다. <개정 2011.6.7, 2011.8.4, 2013.6.4, 2015.5.18, 2024.2.13, 2025.11.11>"
P07494,,조각·패널비위임,,사항은 대통령령으로,"① 정부는 재단의 시설, 운영 및 사업에 필요한 경비에 충당하기 위하여 매년 예산을 편성하여 재단에 출연금을 교부할 수 있다.
② 제1항에 따른 출연금의 교부ㆍ사용 및 관리에 필요한 사항은 대통령령으로 정한다.
제17조(출연금)"
P00906,,조각·패널비위임,,대통령령으로 지정하는 기관에,"① 교육부장관 및 교육감은 교육환경보호구역에 관한 정보의 수집ㆍ활용과 교육환경 보호에 관한 국민의 참여를 확보하기 위하여 교육환경정보시스템(이하 ""정보시스템""이라 한다)을 구축ㆍ운영하여야 한다.
② 교육부장관 및 교육감은 교육환경 보호의 전문성ㆍ객관성 및 예측 가능성을 높이기 위하여 교육환경보호구역 내 금지행위 및 시설 등에 대한 심의 결과를 포함한 교육환경보호구역에 관한 정보 등을 공개하여야 한다.
③ 교육부장관 및 교육감은 정보시스템의 구축ㆍ운영을 제13조에 따른 교육환경 보호를 위한 전문기관 또는 대통령령으로 지정하는 기관에 위탁할 수 있다.
④ 정보시스템의 구축ㆍ운영 등에 필요한 사항과 제2항에 따른 교육환경보호구역에 관한 정보 등의 공개에 관한 사항은 교육부령으로 정한다.
제12조(교육환경정보시스템의 구축ㆍ운영 등)"
P07498,,조각·패널비위임,,사항은 대통령령으로,"① 재단은 이사회의 의결을 거쳐 교육부장관의 승인을 받아 학자금 지원 재원(財源)을 조성하기 위한 채권(債券)을 발행할 수 있다. <개정 2013.3.23>
② 교육부장관은 제1항에 따른 채권 발행을 승인하려면 미리 재정경제부장관과 협의하여야 한다. <개정 2013.3.23, 2025.10.1>
③ 삭제 <2010.1.22>
④ 삭제 <2010.1.22>
⑤ 정부는 재단이 발행하는 채권 원리금의 상환을 보증할 수 있다.
⑥ 재단이 발행하는 채권은 「자본시장과 금융투자업에 관한 법률」 제4조제3항에 따른 특수채증권으로 본다. <신설 2010.1.22>
⑦ 제1항ㆍ제2항ㆍ제5항 및 제6항에서 규정한 사항 외에 채권의 발행에 필요한 사항은 대통령령으로 정한다. <개정 2010.1.22>
제18조(채권의 발행)"
P04252,,조각·패널비위임,,사항은 대통령령으로,"① 고등학교에 입학할 수 있는 사람은 중학교를 졸업한 사람, 제27조의2제1항에 따라 중학교를 졸업한 사람과 동등한 학력이 인정되는 시험에 합격한 사람, 그 밖에 법령에 따라 이와 같은 수준 이상의 학력이 있다고 인정된 사람으로 한다. <개정 2021.3.23>
② 그 밖에 고등학교의 입학방법과 절차 등에 필요한 사항은 대통령령으로 정한다.
제47조(입학자격 등)"
P00097,,조각·패널비위임,,사항은 대통령령으로,"① 대학(산업대학ㆍ교육대학 및 원격대학을 포함한다. 이하 이 조에서 같다)에 대학원을 둘 수 있다. 다만, 사이버대학은 교육여건과 교육과정의 운영에 대한 평가 등 대통령령으로 정하는 기준을 충족한 경우에 한정한다. <개정 2021.3.23>
② 대학원에는 필요에 따라 학위과정 외에 학위를 수여하지 아니하는 연구과정을 둘 수 있다.
③ 대학에 두는 학위과정, 연구과정 및 그 운영에 필요한 사항은 대통령령으로 정한다.
제29조(대학원)"
