id,r1_L1,r2_L1,r3_L1,r1_L2,r2_L2,r3_L2,L1_일관성,L2_일관성
P00400,위임,위임,위임,부령|교육규칙,부령|교육규칙,부령|교육규칙,1.0,1.0
P00435,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P00468,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P00479,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P00483,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P00517,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00536,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00548,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00567,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00575,판단불가,위임,판단불가,해당없음,대통령령,해당없음,0.667,0.667
P00578,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00590,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00622,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00629,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00633,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00645,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00671,위임,위임,위임,조례,조례,조례,1.0,1.0
P00683,위임,위임,위임,조례,조례,조례,1.0,1.0
P00702,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00712,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00715,위임,위임,위임,조례,조례,조례,1.0,1.0
P00720,위임,위임,위임,조례,조례,조례,1.0,1.0
P00728,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00743,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00747,위임,위임,위임,부령,부령,부령,1.0,1.0
P00753,위임,위임,위임,부령,부령,부령,1.0,1.0
P00765,위임,위임,위임,부령,부령,부령,1.0,1.0
P00796,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00803,위임,판단불가,판단불가,대통령령,해당없음,해당없음,0.667,0.667
P00835,위임,위임,위임,조례,조례,조례,1.0,1.0
P00895,판단불가,위임,판단불가,해당없음,대통령령,해당없음,0.667,0.667
P00906,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00964,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00983,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P00996,위임,위임,위임,부령,부령,부령,1.0,1.0
P01003,위임,위임,판단불가,부령,부령,해당없음,0.667,0.667
P01007,판단불가,위임,위임,해당없음,부령,부령,0.667,0.667
P01047,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01057,위임,위임,위임,고시,고시,고시,1.0,1.0
P01061,인용,인용,위임,해당없음,해당없음,대통령령,0.667,0.667
P01087,위임,위임,위임,조례,조례,조례,1.0,1.0
P01093,위임,위임,위임,조례,조례,조례,1.0,1.0
P01106,위임,위임,위임,조례,조례,조례,1.0,1.0
P01113,위임,위임,위임,조례,조례,조례,1.0,1.0
P01114,위임,위임,위임,조례,조례,조례,1.0,1.0
P01133,위임,위임,위임,조례,조례,조례,1.0,1.0
P01139,위임,위임,위임,조례,조례,조례,1.0,1.0
P01154,위임,위임,위임,조례,조례,조례,1.0,1.0
P01162,위임,위임,위임,조례,조례,조례,1.0,1.0
P01168,위임,위임,위임,조례,조례,조례,1.0,1.0
P01198,위임,위임,위임,조례,조례,조례,1.0,1.0
P01204,위임,위임,위임,조례,조례,조례,1.0,1.0
P01206,위임,위임,위임,조례,조례,조례,1.0,1.0
P01208,위임,위임,위임,조례,조례,조례,1.0,1.0
P01237,위임,위임,위임,조례,조례,조례,1.0,1.0
P01249,위임,위임,위임,조례,조례,조례,1.0,1.0
P01255,위임,위임,위임,조례,조례,조례,1.0,1.0
P01256,위임,위임,위임,조례,조례,조례,1.0,1.0
P01277,위임,위임,위임,조례,조례,조례,1.0,1.0
P01284,위임,위임,위임,조례,조례,조례,1.0,1.0
P01292,위임,위임,위임,조례,조례,조례,1.0,1.0
P01306,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01317,위임,위임,위임,대통령령|미특정,대통령령|미특정,대통령령|미특정,1.0,1.0
P01319,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01320,위임,위임,위임,부령,부령,부령,1.0,1.0
P01350,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P01354,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01360,인용,인용,위임,해당없음,해당없음,부령,0.667,0.667
P01388,위임,위임,위임,미특정|교육규칙,미특정|교육규칙,미특정|교육규칙,1.0,1.0
P01394,위임,위임,위임,미특정|교육규칙,미특정|교육규칙,미특정|교육규칙,1.0,1.0
P01395,위임,위임,위임,미특정|교육규칙,미특정|교육규칙,미특정|교육규칙,1.0,1.0
P01415,위임,위임,위임,미특정|교육규칙,미특정|교육규칙,미특정|교육규칙,1.0,1.0
P01439,위임,위임,위임,조례,조례,조례,1.0,1.0
P01478,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01488,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P01509,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01513,판단불가,판단불가,판단불가,해당없음,미특정,미특정,1.0,0.667
P01559,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01562,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01582,인용,인용,위임,해당없음,해당없음,부령,0.667,0.667
P01585,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01616,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01659,위임,위임,위임,고시,고시,고시,1.0,1.0
P01700,위임,위임,위임,고시,고시,고시,1.0,1.0
P01711,위임,위임,판단불가,대통령령,대통령령,해당없음,0.667,0.667
P01725,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01730,판단불가,판단불가,판단불가,미특정,미특정,해당없음,1.0,0.667
P01759,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01760,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01767,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01776,위임,판단불가,위임,대통령령,해당없음,대통령령,0.667,0.667
P01782,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01804,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P01823,위임,인용,위임,대통령령,해당없음,대통령령,0.667,0.667
P01849,위임,위임,위임,조례,조례,조례,1.0,1.0
P01881,위임,위임,위임,조례,조례,조례,1.0,1.0
P01884,위임,위임,위임,조례,조례,조례,1.0,1.0
P01898,위임,위임,위임,조례,조례,조례,1.0,1.0
P01941,위임,위임,위임,조례,조례,조례,1.0,1.0
P01947,위임,위임,위임,조례,조례,조례,1.0,1.0
P01948,위임,위임,위임,조례,조례,조례,1.0,1.0
P01981,위임,위임,위임,조례,조례,조례,1.0,1.0
P01982,위임,위임,위임,조례,조례,조례,1.0,1.0
P01993,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02005,위임,위임,위임,조례,조례,조례,1.0,1.0
P02007,위임,위임,위임,조례,조례,조례,1.0,1.0
P02010,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02026,인용,판단불가,인용,해당없음,해당없음,해당없음,0.667,1.0
P02027,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P02064,위임,위임,위임,조례,조례,조례,1.0,1.0
P02074,판단불가,위임,위임,해당없음,부령,부령,0.667,0.667
P02103,위임,판단불가,위임,부령,해당없음,부령,0.667,0.667
P02127,판단불가,판단불가,판단불가,해당없음,미특정,해당없음,1.0,0.667
P02146,판단불가,판단불가,판단불가,해당없음,해당없음,해당없음,1.0,1.0
P02150,위임,판단불가,판단불가,부령,해당없음,해당없음,0.667,0.667
P02170,판단불가,위임,인용,해당없음,부령,해당없음,0.333,0.667
P02176,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02190,판단불가,판단불가,위임,미특정,해당없음,부령,0.667,0.333
P02195,위임,인용,위임,부령,해당없음,부령,0.667,0.667
P02198,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02242,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02245,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02272,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02310,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02321,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02366,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02381,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02401,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02407,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02435,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02450,위임,위임,위임,조례,조례,조례,1.0,1.0
P02484,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02523,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02542,위임,위임,위임,미특정,미특정|조례,미특정,1.0,0.667
P02554,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P02565,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P02582,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P02589,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02599,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P02611,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02615,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02620,판단불가,위임,판단불가,해당없음,대통령령,해당없음,0.667,0.667
P02627,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02679,위임,위임,위임,부령|교육규칙,부령|교육규칙,부령|교육규칙,1.0,1.0
P02684,위임,위임,위임,부령|교육규칙,부령|교육규칙,부령|교육규칙,1.0,1.0
P02689,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02702,위임,위임,위임,부령,부령,부령,1.0,1.0
P02731,위임,위임,위임,조례|미특정,조례|미특정,조례|미특정,1.0,1.0
P02746,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02761,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02783,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P02809,위임,위임,위임,조례,조례,조례,1.0,1.0
P02822,위임,위임,위임,조례,조례,조례,1.0,1.0
P02838,위임,위임,위임,조례,조례,조례,1.0,1.0
P02842,위임,위임,위임,조례,조례,조례,1.0,1.0
P02873,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02892,위임,위임,위임,고시,고시,고시,1.0,1.0
P02895,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02898,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02918,위임,판단불가,판단불가,부령,미특정,해당없음,0.667,0.333
P02946,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P02952,위임,위임,판단불가,대통령령,대통령령,미특정,0.667,0.667
P03000,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P03017,위임,위임,인용,대통령령,대통령령,해당없음,0.667,0.667
P03026,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P03033,인용,인용,위임,해당없음,해당없음,부령,0.667,0.667
P03041,판단불가,판단불가,판단불가,해당없음,해당없음,해당없음,1.0,1.0
P03067,인용,인용,위임,해당없음,해당없음,부령,0.667,0.667
P03080,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P03092,위임,위임,위임,대통령령|교육규칙,대통령령|교육규칙,대통령령|교육규칙,1.0,1.0
P03100,위임,위임,위임,대통령령|교육규칙,대통령령|교육규칙,대통령령|교육규칙,1.0,1.0
P03116,위임,위임,위임,부령,부령,부령,1.0,1.0
P03129,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P03139,위임,위임,위임,부령|교육규칙,부령|교육규칙,부령|교육규칙,1.0,1.0
P03156,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P03176,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P03200,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P03209,위임,위임,위임,부령,부령,부령,1.0,1.0
P03219,위임,위임,위임,부령,부령,부령,1.0,1.0
P03229,위임,위임,판단불가,부령,부령,해당없음,0.667,0.667
P03233,위임,판단불가,위임,부령,해당없음,부령,0.667,0.667
P03246,위임,위임,위임,부령,부령,부령,1.0,1.0
P03256,위임,판단불가,판단불가,대통령령,해당없음,미특정,0.667,0.333
P03260,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03266,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03271,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03286,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03312,위임,위임,위임,조례,조례,조례,1.0,1.0
P03319,위임,위임,위임,조례,조례,조례,1.0,1.0
P03327,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P03338,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P03360,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P03381,위임,위임,위임,조례,조례,조례,1.0,1.0
P03389,위임,위임,위임,조례,조례,조례,1.0,1.0
P03390,위임,위임,위임,조례,조례,조례,1.0,1.0
P03397,위임,위임,위임,대통령령|조례,조례|대통령령,대통령령|조례,1.0,0.667
P03399,위임,위임,위임,대통령령|조례,조례|대통령령,대통령령|조례,1.0,0.667
P03423,위임,위임,위임,조례,조례,조례,1.0,1.0
P03425,위임,위임,위임,조례,조례,조례,1.0,1.0
P03439,위임,위임,위임,조례,조례,조례,1.0,1.0
P03450,위임,위임,위임,조례,조례,조례,1.0,1.0
P03475,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P03483,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P03484,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P03509,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P03526,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P03532,위임,위임,위임,조례,조례,조례,1.0,1.0
P03572,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P03616,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03622,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03630,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03645,위임,위임,위임,조례,조례,조례,1.0,1.0
P03662,위임,위임,위임,조례,조례,조례,1.0,1.0
P03678,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03697,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03704,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03713,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03728,위임,위임,위임,조례|교육규칙,조례|교육규칙,조례|교육규칙,1.0,1.0
P03747,위임,위임,위임,조례,조례,조례,1.0,1.0
P03785,판단불가,판단불가,판단불가,해당없음,해당없음,해당없음,1.0,1.0
P03791,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P03816,위임,위임,위임,조례,조례,조례,1.0,1.0
P03822,위임,위임,위임,조례,조례,조례,1.0,1.0
P03829,위임,위임,위임,조례,조례,조례,1.0,1.0
P03833,위임,위임,위임,조례,조례,조례,1.0,1.0
P03837,위임,위임,위임,조례,조례,조례,1.0,1.0
P03857,위임,위임,위임,조례,조례,조례,1.0,1.0
P03893,위임,위임,위임,조례,조례,조례,1.0,1.0
P03897,위임,위임,위임,조례,조례,조례,1.0,1.0
P03914,위임,위임,위임,조례,조례,조례,1.0,1.0
P03920,위임,위임,위임,조례,조례,조례,1.0,1.0
P03926,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P03961,판단불가,위임,위임,해당없음,대통령령,대통령령,0.667,0.667
P03977,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04011,위임,위임,위임,조례,조례,조례,1.0,1.0
P04016,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04026,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04030,위임,위임,위임,부령|조례,부령|조례,부령|조례,1.0,1.0
P04045,위임,위임,위임,부령|조례,부령|조례,부령|조례,1.0,1.0
P04072,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04073,판단불가,위임,위임,해당없음,대통령령,대통령령,0.667,0.667
P04078,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04079,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04094,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04106,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04109,위임,위임,위임,부령,부령,부령,1.0,1.0
P04113,위임,위임,판단불가,대통령령,대통령령,미특정,0.667,0.667
P04158,위임,위임,위임,부령|교육규칙,부령|교육규칙,부령|교육규칙,1.0,1.0
P04159,위임,위임,위임,부령|교육규칙,부령|교육규칙,부령|교육규칙,1.0,1.0
P04169,위임,위임,위임,부령|교육규칙,부령|교육규칙,부령|교육규칙,1.0,1.0
P04179,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04186,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P04213,위임,위임,판단불가,대통령령,대통령령,해당없음,0.667,0.667
P04233,위임,위임,위임,대통령령|조례,대통령령|조례,대통령령|조례,1.0,1.0
P04244,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04247,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04262,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04277,판단불가,판단불가,판단불가,해당없음,미특정,해당없음,1.0,0.667
P04279,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04281,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04286,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04290,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P04293,위임,위임,위임,조례,조례,조례,1.0,1.0
P04305,위임,위임,위임,조례,조례,조례,1.0,1.0
P04336,인용,위임,위임,해당없음,대통령령,대통령령,0.667,0.667
P04344,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04371,위임,위임,위임,조례,조례,조례,1.0,1.0
P04385,위임,위임,위임,조례,조례,미특정|조례,1.0,0.667
P04391,위임,위임,위임,조례,조례,조례,1.0,1.0
P04422,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P04429,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P04440,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P04460,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P04462,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P04473,위임,위임,위임,미특정|조례,미특정|조례,미특정|조례,1.0,1.0
P04497,위임,위임,위임,부령,부령,부령,1.0,1.0
P04503,위임,인용,인용,미특정,해당없음,해당없음,0.667,0.667
P04509,판단불가,위임,판단불가,해당없음,미특정,해당없음,0.667,0.667
P04510,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04552,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04616,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04617,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04620,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04628,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04634,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04646,위임,판단불가,판단불가,부령,해당없음,해당없음,0.667,0.667
P04649,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04653,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04676,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04677,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04692,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04694,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04723,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04729,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04732,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04777,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04786,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04813,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04817,위임,판단불가,위임,부령,해당없음,부령,0.667,0.667
P04830,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04837,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04845,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P04856,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04874,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04879,위임,인용,인용,부령,해당없음,해당없음,0.667,0.667
P04898,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P04925,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04932,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P04951,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P05001,위임,위임,위임,교육규칙,교육규칙,교육규칙,1.0,1.0
P05017,위임,위임,위임,미특정,미특정,미특정,1.0,1.0
P05030,위임,위임,위임,고시,고시,고시,1.0,1.0
P05049,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P05059,위임,위임,위임,대통령령,대통령령,대통령령,1.0,1.0
P05102,위임,위임,위임,부령,부령,부령,1.0,1.0
P05104,위임,위임,위임,부령,부령,부령,1.0,1.0
P05109,인용,인용,인용,해당없음,해당없음,해당없음,1.0,1.0
P05159,위임,위임,위임,조례,조례,조례,1.0,1.0
P05175,위임,위임,위임,조례,조례,조례,1.0,1.0
P05176,위임,위임,위임,조례,조례,조례,1.0,1.0
P05178,위임,위임,위임,조례,조례,조례,1.0,1.0
P05207,위임,위임,위임,조례,조례,조례,1.0,1.0
P05215,위임,위임,위임,조례,조례,조례,1.0,1.0
P05225,위임,위임,위임,조례,조례,조례,1.0,1.0
P05229,위임,위임,위임,조례,조례,조례,1.0,1.0
P05251,위임,위임,위임,조례,조례,조례,1.0,1.0
P05265,위임,위임,위임,조례,조례,조례,1.0,1.0
P05271,위임,위임,위임,조례,조례,조례,1.0,1.0
P05287,위임,위임,위임,조례,조례,조례,1.0,1.0
P05292,위임,위임,위임,조례,조례,조례,1.0,1.0
P05325,위임,위임,위임,조례,조례,조례,1.0,1.0
P05334,위임,위임,위임,조례,조례,조례,1.0,1.0
P05347,위임,위임,위임,조례,조례,조례,1.0,1.0
P05354,위임,위임,위임,조례,조례,조례,1.0,1.0
P05361,위임,위임,위임,조례,조례,조례,1.0,1.0
P05362,위임,위임,위임,조례,조례,조례,1.0,1.0
P05409,위임,위임,위임,조례,조례,조례,1.0,1.0
P05413,위임,위임,위임,조례,조례,조례,1.0,1.0
P05415,위임,위임,위임,조례,조례,조례,1.0,1.0
P05417,위임,위임,위임,조례,조례,조례,1.0,1.0
P05427,위임,위임,위임,조례,조례,조례,1.0,1.0
P05442,위임,위임,위임,조례,조례,조례,1.0,1.0
P05448,위임,위임,위임,조례,조례,조례,1.0,1.0
P05468,위임,위임,위임,조례,조례,조례,1.0,1.0
P05471,위임,위임,위임,조례,조례,조례,1.0,1.0
P05483,위임,위임,위임,조례,조례,조례,1.0,1.0
P05491,위임,위임,위임,조례,조례,조례,1.0,1.0
P05503,위임,위임,위임,조례,조례,조례,1.0,1.0
P05532,위임,위임,위임,조례,조례,조례,1.0,1.0
P05556,위임,위임,위임,조례,조례,조례,1.0,1.0
P05566,위임,위임,위임,조례,조례,조례,1.0,1.0
P05579,위임,위임,위임,조례,조례,조례,1.0,1.0
P05607,위임,위임,위임,조례,조례,조례,1.0,1.0
P05628,위임,위임,위임,조례,조례,조례,1.0,1.0
P05631,위임,위임,위임,조례,조례,조례,1.0,1.0
P05640,위임,위임,위임,조례,조례,조례,1.0,1.0
P05648,위임,위임,위임,조례,조례,조례,1.0,1.0
P05651,위임,위임,위임,조례,조례,조례,1.0,1.0
P05666,판단불가,판단불가,판단불가,해당없음,해당없음,해당없음,1.0,1.0
P05719,위임,위임,위임,조례,조례,조례,1.0,1.0
P05737,위임,위임,위임,조례,조례,조례,1.0,1.0
P05748,위임,위임,위임,조례,조례,조례,1.0,1.0
